benchmark=d_str_rep_nt,solver=s3p,TO=600.000000
path,sat,time
benchmark/laut/d_str_rep_nt/29837/sink.s3,x,0.0
benchmark/laut/d_str_rep_nt/20472/sink.s3,0,0.418160
benchmark/laut/d_str_rep_nt/19755/sink.s3,0,0.472210
benchmark/laut/d_str_rep_nt/17241/sink.s3,x,0.0
benchmark/laut/d_str_rep_nt/29673/sink.s3,0,0.418588
benchmark/laut/d_str_rep_nt/2200/sink.s3,0,0.068841
benchmark/laut/d_str_rep_nt/21602/sink.s3,x,0.0
benchmark/laut/d_str_rep_nt/17149/sink.s3,x,0.0
benchmark/laut/d_str_rep_nt/17172/sink.s3,x,0.0
benchmark/laut/d_str_rep_nt/29882/sink.s3,0,0.420414
benchmark/laut/d_str_rep_nt/20751/sink.s3,0,0.467951
benchmark/laut/d_str_rep_nt/29656/sink.s3,x,0.0
benchmark/laut/d_str_rep_nt/19574/sink.s3,0,0.467795
benchmark/laut/d_str_rep_nt/21073/sink.s3,x,0.000000
benchmark/laut/d_str_rep_nt/17778/sink.s3,x,0.0
benchmark/laut/d_str_rep_nt/30552/sink.s3,0,0.421197
benchmark/laut/d_str_rep_nt/17803/sink.s3,x,0.0
benchmark/laut/d_str_rep_nt/19719/sink.s3,x,0.0
benchmark/laut/d_str_rep_nt/17829/sink.s3,0,0.419594
benchmark/laut/d_str_rep_nt/19125/sink.s3,x,0.0
benchmark/laut/d_str_rep_nt/29485/sink.s3,x,0.0
benchmark/laut/d_str_rep_nt/17728/sink.s3,0,0.419163
benchmark/laut/d_str_rep_nt/26404/sink.s3,0,0.371263
benchmark/laut/d_str_rep_nt/31586/sink.s3,0,0.472439
benchmark/laut/d_str_rep_nt/20896/sink.s3,x,0.0
benchmark/laut/d_str_rep_nt/17621/sink.s3,x,0.0
benchmark/laut/d_str_rep_nt/29618/sink.s3,0,0.471756
benchmark/laut/d_str_rep_nt/30115/sink.s3,x,0.0
benchmark/laut/d_str_rep_nt/20731/sink.s3,x,0.0
benchmark/laut/d_str_rep_nt/20586/sink.s3,0,0.420155
benchmark/laut/d_str_rep_nt/21266/sink.s3,x,0.0
benchmark/laut/d_str_rep_nt/30007/sink.s3,1,0.824257
benchmark/laut/d_str_rep_nt/17688/sink.s3,1,0.772875
benchmark/laut/d_str_rep_nt/19154/sink.s3,x,0.0
benchmark/laut/d_str_rep_nt/19041/sink.s3,0,1.978850
benchmark/laut/d_str_rep_nt/21254/sink.s3,0,0.670201
benchmark/laut/d_str_rep_nt/16988/sink.s3,0,0.473624
benchmark/laut/d_str_rep_nt/29796/sink.s3,x,0.0
