benchmark=x-str-rep,solver=abc,TO=20.000000
path,sat,time,step
benchmark/laut/x-str-rep/19755/sink.abc,x,0.000000,x
benchmark/laut/x-str-rep/30007/sink.abc,x,0.000000,x
benchmark/laut/x-str-rep/30552/sink.abc,x,0.000000,x
benchmark/laut/x-str-rep/19373/sink.abc,x,0.000000,x
benchmark/laut/x-str-rep/8280/sink.abc,x,0.000000,x
benchmark/laut/x-str-rep/29462/sink.abc,x,0.000000,x
benchmark/laut/x-str-rep/29569/sink.abc,x,0.000000,x
benchmark/laut/x-str-rep/2179/sink.abc,x,0.000000,x
benchmark/laut/x-str-rep/20830/sink.abc,x,0.000000,x
benchmark/laut/x-str-rep/15962/sink.abc,x,0.000000,x
benchmark/laut/x-str-rep/29589/sink.abc,x,0.000000,x
benchmark/laut/x-str-rep/30060/sink.abc,x,0.000000,x
benchmark/laut/x-str-rep/30166/sink.abc,x,0.000000,x
benchmark/laut/x-str-rep/30320/sink.abc,x,0.000000,x
benchmark/laut/x-str-rep/21218/sink.abc,x,0.000000,x
benchmark/laut/x-str-rep/19826/sink.abc,x,0.000000,x
benchmark/laut/x-str-rep/15976/sink.abc,x,0.000000,x
benchmark/laut/x-str-rep/21200/sink.abc,x,0.000000,x
benchmark/laut/x-str-rep/29326/sink.abc,x,0.000000,x
benchmark/laut/x-str-rep/17856/sink.abc,x,0.000000,x
benchmark/laut/x-str-rep/19332/sink.abc,x,0.000000,x
benchmark/laut/x-str-rep/17131/sink.abc,x,0.000000,x
benchmark/laut/x-str-rep/14050/sink.abc,x,0.000000,x
benchmark/laut/x-str-rep/19041/sink.abc,x,0.000000,x
benchmark/laut/x-str-rep/17014/sink.abc,x,0.000000,x
benchmark/laut/x-str-rep/4413/sink.abc,x,0.000000,x
benchmark/laut/x-str-rep/8276/sink.abc,x,0.000000,x
benchmark/laut/x-str-rep/29601/sink.abc,x,0.000000,x
benchmark/laut/x-str-rep/19630/sink.abc,x,0.000000,x
benchmark/laut/x-str-rep/3237/sink.abc,x,0.000000,x
benchmark/laut/x-str-rep/24522/sink.abc,x,0.000000,x
benchmark/laut/x-str-rep/17951/sink.abc,x,0.000000,x
benchmark/laut/x-str-rep/19253/sink.abc,x,0.000000,x
benchmark/laut/x-str-rep/4429/sink.abc,x,0.000000,x
benchmark/laut/x-str-rep/26083/sink.abc,x,0.000000,x
benchmark/laut/x-str-rep/29697/sink.abc,x,0.000000,x
benchmark/laut/x-str-rep/21024/sink.abc,x,0.000000,x
benchmark/laut/x-str-rep/18213/sink.abc,x,0.000000,x
benchmark/laut/x-str-rep/21110/sink.abc,x,0.000000,x
benchmark/laut/x-str-rep/17301/sink.abc,x,0.000000,x
benchmark/laut/x-str-rep/29300/sink.abc,x,0.000000,x
benchmark/laut/x-str-rep/30210/sink.abc,x,0.000000,x
benchmark/laut/x-str-rep/29737/sink.abc,x,0.000000,x
benchmark/laut/x-str-rep/30076/sink.abc,x,0.000000,x
benchmark/laut/x-str-rep/19526/sink.abc,x,0.000000,x
benchmark/laut/x-str-rep/19574/sink.abc,x,0.000000,x
benchmark/laut/x-str-rep/21254/sink.abc,x,0.000000,x
benchmark/laut/x-str-rep/26181/sink.abc,x,0.000000,x
benchmark/laut/x-str-rep/24814/sink.abc,x,0.000000,x
benchmark/laut/x-str-rep/20986/sink.abc,x,0.000000,x
benchmark/laut/x-str-rep/17461/sink.abc,x,0.000000,x
benchmark/laut/x-str-rep/2200/sink.abc,x,0.000000,x
benchmark/laut/x-str-rep/21380/sink.abc,x,0.000000,x
benchmark/laut/x-str-rep/19611/sink.abc,x,0.000000,x
benchmark/laut/x-str-rep/30039/sink.abc,x,0.000000,x
benchmark/laut/x-str-rep/21602/sink.abc,x,0.000000,x
benchmark/laut/x-str-rep/18138/sink.abc,x,0.000000,x
benchmark/laut/x-str-rep/20586/sink.abc,x,0.000000,x
benchmark/laut/x-str-rep/10205/sink.abc,x,0.000000,x
benchmark/laut/x-str-rep/30232/sink.abc,x,0.000000,x
benchmark/laut/x-str-rep/17803/sink.abc,x,0.000000,x
benchmark/laut/x-str-rep/12119/sink.abc,x,0.000000,x
benchmark/laut/x-str-rep/2166/sink.abc,x,0.000000,x
benchmark/laut/x-str-rep/17575/sink.abc,x,0.000000,x
benchmark/laut/x-str-rep/30136/sink.abc,x,0.000000,x
benchmark/laut/x-str-rep/26154/sink.abc,x,0.000000,x
benchmark/laut/x-str-rep/17916/sink.abc,x,0.000000,x
benchmark/laut/x-str-rep/19701/sink.abc,x,0.000000,x
benchmark/laut/x-str-rep/20871/sink.abc,x,0.000000,x
benchmark/laut/x-str-rep/16927/sink.abc,x,0.000000,x
benchmark/laut/x-str-rep/15960/sink.abc,x,0.000000,x
benchmark/laut/x-str-rep/21266/sink.abc,x,0.000000,x
benchmark/laut/x-str-rep/19021/sink.abc,x,0.000000,x
benchmark/laut/x-str-rep/16988/sink.abc,x,0.000000,x
benchmark/laut/x-str-rep/17218/sink.abc,x,0.000000,x
benchmark/laut/x-str-rep/29656/sink.abc,x,0.000000,x
benchmark/laut/x-str-rep/25888/sink.abc,x,0.000000,x
benchmark/laut/x-str-rep/7102/sink.abc,x,0.000000,x
benchmark/laut/x-str-rep/29882/sink.abc,x,0.000000,x
benchmark/laut/x-str-rep/21331/sink.abc,x,0.000000,x
benchmark/laut/x-str-rep/14787/sink.abc,x,0.000000,x
benchmark/laut/x-str-rep/17892/sink.abc,x,0.000000,x
benchmark/laut/x-str-rep/29673/sink.abc,x,0.000000,x
benchmark/laut/x-str-rep/21094/sink.abc,x,0.000000,x
benchmark/laut/x-str-rep/17728/sink.abc,x,0.000000,x
benchmark/laut/x-str-rep/19273/sink.abc,x,0.000000,x
benchmark/laut/x-str-rep/19456/sink.abc,x,0.000000,x
benchmark/laut/x-str-rep/29903/sink.abc,x,0.000000,x
benchmark/laut/x-str-rep/2165/sink.abc,x,0.000000,x
benchmark/laut/x-str-rep/2181/sink.abc,x,0.000000,x
benchmark/laut/x-str-rep/30292/sink.abc,x,0.000000,x
benchmark/laut/x-str-rep/21129/sink.abc,x,0.000000,x
benchmark/laut/x-str-rep/20496/sink.abc,x,0.000000,x
benchmark/laut/x-str-rep/32993/sink.abc,x,0.000000,x
benchmark/laut/x-str-rep/29972/sink.abc,x,0.000000,x
benchmark/laut/x-str-rep/19105/sink.abc,x,0.000000,x
benchmark/laut/x-str-rep/19719/sink.abc,x,0.000000,x
benchmark/laut/x-str-rep/20690/sink.abc,x,0.000000,x
benchmark/laut/x-str-rep/17271/sink.abc,x,0.000000,x
benchmark/laut/x-str-rep/17327/sink.abc,x,0.000000,x
benchmark/laut/x-str-rep/10209/sink.abc,x,0.000000,x
benchmark/laut/x-str-rep/17829/sink.abc,x,0.000000,x
benchmark/laut/x-str-rep/26404/sink.abc,x,0.000000,x
benchmark/laut/x-str-rep/18101/sink.abc,x,0.000000,x
benchmark/laut/x-str-rep/19418/sink.abc,x,0.000000,x
benchmark/laut/x-str-rep/17104/sink.abc,x,0.000000,x
benchmark/laut/x-str-rep/31586/sink.abc,x,0.000000,x
benchmark/laut/x-str-rep/29337/sink.abc,x,0.000000,x
