benchmark=x-str-rep,solver=ic3ia,TO=600.000000
path,sat,time,step
benchmark/laut/x-str-rep/19755/sink.vmt,t,0.0,0
benchmark/laut/x-str-rep/30007/sink.vmt,1,279.275585,200
benchmark/laut/x-str-rep/30552/sink.vmt,1,309.460789,190
benchmark/laut/x-str-rep/19373/sink.vmt,t,0.0,0
benchmark/laut/x-str-rep/8280/sink.vmt,t,0.0,0
benchmark/laut/x-str-rep/29462/sink.vmt,t,0.0,0
benchmark/laut/x-str-rep/29569/sink.vmt,t,0.0,0
benchmark/laut/x-str-rep/2179/sink.vmt,1,24.330050,35
benchmark/laut/x-str-rep/20830/sink.vmt,t,0.0,0
benchmark/laut/x-str-rep/15962/sink.vmt,t,0.0,0
benchmark/laut/x-str-rep/29589/sink.vmt,t,0.0,0
benchmark/laut/x-str-rep/30060/sink.vmt,t,0.0,0
benchmark/laut/x-str-rep/30166/sink.vmt,t,0.0,0
benchmark/laut/x-str-rep/30320/sink.vmt,t,0.0,0
benchmark/laut/x-str-rep/21218/sink.vmt,t,0.0,0
benchmark/laut/x-str-rep/19826/sink.vmt,t,0.0,0
benchmark/laut/x-str-rep/15976/sink.vmt,t,0.0,0
benchmark/laut/x-str-rep/21200/sink.vmt,t,0.0,0
benchmark/laut/x-str-rep/29326/sink.vmt,t,0.0,0
benchmark/laut/x-str-rep/17856/sink.vmt,t,0.0,0
benchmark/laut/x-str-rep/19332/sink.vmt,t,0.0,0
benchmark/laut/x-str-rep/17131/sink.vmt,t,0.0,0
benchmark/laut/x-str-rep/14050/sink.vmt,t,0.0,0
benchmark/laut/x-str-rep/19041/sink.vmt,t,0.0,0
benchmark/laut/x-str-rep/17014/sink.vmt,t,0.0,0
benchmark/laut/x-str-rep/4413/sink.vmt,1,591.687034,34
benchmark/laut/x-str-rep/8276/sink.vmt,1,15.693245,51
benchmark/laut/x-str-rep/29601/sink.vmt,t,0.0,0
benchmark/laut/x-str-rep/19630/sink.vmt,t,0.0,0
benchmark/laut/x-str-rep/3237/sink.vmt,1,12.697987,30
benchmark/laut/x-str-rep/24522/sink.vmt,1,375.016225,231
benchmark/laut/x-str-rep/17951/sink.vmt,t,0.0,0
benchmark/laut/x-str-rep/19253/sink.vmt,t,0.0,0
benchmark/laut/x-str-rep/4429/sink.vmt,t,0.0,0
benchmark/laut/x-str-rep/26083/sink.vmt,t,0.0,0
benchmark/laut/x-str-rep/29697/sink.vmt,t,0.0,0
benchmark/laut/x-str-rep/21024/sink.vmt,t,0.0,0
benchmark/laut/x-str-rep/18213/sink.vmt,t,0.0,0
benchmark/laut/x-str-rep/21110/sink.vmt,t,0.0,0
benchmark/laut/x-str-rep/17301/sink.vmt,t,0.0,0
benchmark/laut/x-str-rep/29300/sink.vmt,t,0.0,0
benchmark/laut/x-str-rep/30210/sink.vmt,t,0.0,0
benchmark/laut/x-str-rep/29737/sink.vmt,t,0.0,0
benchmark/laut/x-str-rep/30076/sink.vmt,t,0.0,0
benchmark/laut/x-str-rep/19526/sink.vmt,t,0.0,0
benchmark/laut/x-str-rep/19574/sink.vmt,t,0.0,0
benchmark/laut/x-str-rep/21254/sink.vmt,t,0.0,0
benchmark/laut/x-str-rep/26181/sink.vmt,t,0.0,0
benchmark/laut/x-str-rep/24814/sink.vmt,t,0.0,0
benchmark/laut/x-str-rep/20986/sink.vmt,t,0.0,0
benchmark/laut/x-str-rep/17461/sink.vmt,t,0.0,0
benchmark/laut/x-str-rep/2200/sink.vmt,t,0.0,0
benchmark/laut/x-str-rep/21380/sink.vmt,1,292.422228,153
benchmark/laut/x-str-rep/19611/sink.vmt,t,0.0,0
benchmark/laut/x-str-rep/30039/sink.vmt,t,0.0,0
benchmark/laut/x-str-rep/21602/sink.vmt,1,500.865383,192
benchmark/laut/x-str-rep/18138/sink.vmt,t,0.0,0
benchmark/laut/x-str-rep/20586/sink.vmt,t,0.0,0
benchmark/laut/x-str-rep/10205/sink.vmt,1,108.764331,50
benchmark/laut/x-str-rep/30232/sink.vmt,t,0.0,0
benchmark/laut/x-str-rep/17803/sink.vmt,t,0.0,0
benchmark/laut/x-str-rep/12119/sink.vmt,t,0.0,0
benchmark/laut/x-str-rep/2166/sink.vmt,t,0.0,0
benchmark/laut/x-str-rep/17575/sink.vmt,t,0.0,0
benchmark/laut/x-str-rep/30136/sink.vmt,t,0.0,0
benchmark/laut/x-str-rep/26154/sink.vmt,t,0.0,0
benchmark/laut/x-str-rep/17916/sink.vmt,t,0.0,0
benchmark/laut/x-str-rep/19701/sink.vmt,t,0.0,0
benchmark/laut/x-str-rep/20871/sink.vmt,t,0.0,0
benchmark/laut/x-str-rep/16927/sink.vmt,t,0.0,0
benchmark/laut/x-str-rep/15960/sink.vmt,t,0.0,0
benchmark/laut/x-str-rep/21266/sink.vmt,t,0.0,0
benchmark/laut/x-str-rep/19021/sink.vmt,t,0.0,0
benchmark/laut/x-str-rep/16988/sink.vmt,t,0.0,0
benchmark/laut/x-str-rep/17218/sink.vmt,t,0.0,0
benchmark/laut/x-str-rep/29656/sink.vmt,t,0.0,0
benchmark/laut/x-str-rep/25888/sink.vmt,t,0.0,0
benchmark/laut/x-str-rep/7102/sink.vmt,1,7.486430,23
benchmark/laut/x-str-rep/29882/sink.vmt,t,0.0,0
benchmark/laut/x-str-rep/21331/sink.vmt,t,0.0,0
benchmark/laut/x-str-rep/14787/sink.vmt,1,129.421713,132
benchmark/laut/x-str-rep/17892/sink.vmt,t,0.0,0
benchmark/laut/x-str-rep/29673/sink.vmt,t,0.0,0
benchmark/laut/x-str-rep/21094/sink.vmt,t,0.0,0
benchmark/laut/x-str-rep/17728/sink.vmt,t,0.0,0
benchmark/laut/x-str-rep/19273/sink.vmt,t,0.0,0
benchmark/laut/x-str-rep/19456/sink.vmt,t,0.0,0
benchmark/laut/x-str-rep/29903/sink.vmt,t,0.0,0
benchmark/laut/x-str-rep/2165/sink.vmt,1,10.192642,51
benchmark/laut/x-str-rep/2181/sink.vmt,1,9.640447,35
benchmark/laut/x-str-rep/30292/sink.vmt,t,0.0,0
benchmark/laut/x-str-rep/21129/sink.vmt,t,0.0,0
benchmark/laut/x-str-rep/20496/sink.vmt,t,0.0,0
benchmark/laut/x-str-rep/32993/sink.vmt,t,0.0,0
benchmark/laut/x-str-rep/29972/sink.vmt,t,0.0,0
benchmark/laut/x-str-rep/19105/sink.vmt,t,0.0,0
benchmark/laut/x-str-rep/19719/sink.vmt,t,0.0,0
benchmark/laut/x-str-rep/20690/sink.vmt,t,0.0,0
benchmark/laut/x-str-rep/17271/sink.vmt,t,0.0,0
benchmark/laut/x-str-rep/17327/sink.vmt,t,0.0,0
benchmark/laut/x-str-rep/10209/sink.vmt,t,0.0,0
benchmark/laut/x-str-rep/17829/sink.vmt,t,0.0,0
benchmark/laut/x-str-rep/26404/sink.vmt,t,0.0,0
benchmark/laut/x-str-rep/18101/sink.vmt,t,0.0,0
benchmark/laut/x-str-rep/19418/sink.vmt,t,0.0,0
benchmark/laut/x-str-rep/17104/sink.vmt,t,0.0,0
benchmark/laut/x-str-rep/31586/sink.vmt,t,0.0,0
benchmark/laut/x-str-rep/29337/sink.vmt,t,0.0,0
benchmark/laut/x-str-rep/19650/sink.vmt,t,0.0,0
benchmark/laut/x-str-rep/19911/sink.vmt,t,0.0,0
benchmark/laut/x-str-rep/20603/sink.vmt,t,0.0,0
benchmark/laut/x-str-rep/33020/sink.vmt,t,0.0,0
benchmark/laut/x-str-rep/19125/sink.vmt,t,0.0,0
benchmark/laut/x-str-rep/2180/sink.vmt,1,9.089103,37
benchmark/laut/x-str-rep/29766/sink.vmt,t,0.0,0
benchmark/laut/x-str-rep/18493/sink.vmt,1,208.079149,191
benchmark/laut/x-str-rep/17241/sink.vmt,t,0.0,0
benchmark/laut/x-str-rep/17363/sink.vmt,t,0.0,0
benchmark/laut/x-str-rep/9032/sink.vmt,1,13.749878,23
benchmark/laut/x-str-rep/10206/sink.vmt,t,0.0,0
benchmark/laut/x-str-rep/20800/sink.vmt,t,0.0,0
benchmark/laut/x-str-rep/20094/sink.vmt,1,227.108743,192
