benchmark=x-str-rep,solver=s3p,TO=600.000000
path,sat,time
benchmark/laut/x-str-rep/2179/sink.s3,1,0.115059
benchmark/laut/x-str-rep/20830/sink.s3,x,0.000000
benchmark/laut/x-str-rep/15962/sink.s3,1,0.215732
benchmark/laut/x-str-rep/29589/sink.s3,x,0.000000
benchmark/laut/x-str-rep/30060/sink.s3,x,0.000000
benchmark/laut/x-str-rep/30166/sink.s3,x,0.000000
benchmark/laut/x-str-rep/30320/sink.s3,1,0.215699
benchmark/laut/x-str-rep/21218/sink.s3,x,0.000000
benchmark/laut/x-str-rep/19826/sink.s3,t,0.0
benchmark/laut/x-str-rep/15976/sink.s3,1,0.316065
benchmark/laut/x-str-rep/21200/sink.s3,x,0.000000
benchmark/laut/x-str-rep/29326/sink.s3,x,0.000000
benchmark/laut/x-str-rep/17856/sink.s3,x,0.000000
benchmark/laut/x-str-rep/19332/sink.s3,x,0.000000
benchmark/laut/x-str-rep/17131/sink.s3,x,0.000000
benchmark/laut/x-str-rep/14050/sink.s3,1,0.215239
benchmark/laut/x-str-rep/19041/sink.s3,x,0.000000
benchmark/laut/x-str-rep/17014/sink.s3,t,0.0
benchmark/laut/x-str-rep/4413/sink.s3,x,0.000000
benchmark/laut/x-str-rep/8276/sink.s3,1,0.115375
benchmark/laut/x-str-rep/29601/sink.s3,x,0.000000
benchmark/laut/x-str-rep/19630/sink.s3,x,0.000000
benchmark/laut/x-str-rep/3237/sink.s3,1,0.115579
benchmark/laut/x-str-rep/24522/sink.s3,t,0.0
benchmark/laut/x-str-rep/17951/sink.s3,x,0.000000
benchmark/laut/x-str-rep/19253/sink.s3,x,0.000000
benchmark/laut/x-str-rep/4429/sink.s3,1,0.265630
benchmark/laut/x-str-rep/26083/sink.s3,t,0.0
benchmark/laut/x-str-rep/29697/sink.s3,x,0.000000
benchmark/laut/x-str-rep/21024/sink.s3,x,0.000000
benchmark/laut/x-str-rep/18213/sink.s3,x,0.000000
benchmark/laut/x-str-rep/21110/sink.s3,x,0.000000
benchmark/laut/x-str-rep/17301/sink.s3,x,0.000000
benchmark/laut/x-str-rep/29300/sink.s3,1,0.115353
benchmark/laut/x-str-rep/30210/sink.s3,x,0.000000
benchmark/laut/x-str-rep/29737/sink.s3,x,0.000000
benchmark/laut/x-str-rep/30076/sink.s3,x,0.000000
benchmark/laut/x-str-rep/19526/sink.s3,x,0.000000
benchmark/laut/x-str-rep/19574/sink.s3,x,0.000000
benchmark/laut/x-str-rep/21254/sink.s3,t,0.0
benchmark/laut/x-str-rep/26181/sink.s3,t,0.0
benchmark/laut/x-str-rep/24814/sink.s3,t,0.0
benchmark/laut/x-str-rep/20986/sink.s3,x,0.000000
benchmark/laut/x-str-rep/17461/sink.s3,t,0.0
benchmark/laut/x-str-rep/2200/sink.s3,x,0.000000
benchmark/laut/x-str-rep/21380/sink.s3,t,0.0
benchmark/laut/x-str-rep/19611/sink.s3,x,0.000000
benchmark/laut/x-str-rep/30039/sink.s3,x,0.000000
benchmark/laut/x-str-rep/21602/sink.s3,x,0.000000
benchmark/laut/x-str-rep/18138/sink.s3,x,0.000000
benchmark/laut/x-str-rep/20586/sink.s3,x,0.000000
benchmark/laut/x-str-rep/10205/sink.s3,1,0.065618
benchmark/laut/x-str-rep/30232/sink.s3,x,0.000000
benchmark/laut/x-str-rep/17803/sink.s3,x,0.000000
benchmark/laut/x-str-rep/12119/sink.s3,1,0.316092
benchmark/laut/x-str-rep/2166/sink.s3,x,0.000000
benchmark/laut/x-str-rep/17575/sink.s3,x,0.000000
benchmark/laut/x-str-rep/30136/sink.s3,x,0.000000
benchmark/laut/x-str-rep/26154/sink.s3,t,0.0
benchmark/laut/x-str-rep/17916/sink.s3,x,0.000000
benchmark/laut/x-str-rep/19701/sink.s3,x,0.000000
benchmark/laut/x-str-rep/20871/sink.s3,x,0.000000
benchmark/laut/x-str-rep/16927/sink.s3,x,0.000000
benchmark/laut/x-str-rep/15960/sink.s3,x,0.000000
benchmark/laut/x-str-rep/21266/sink.s3,x,0.000000
benchmark/laut/x-str-rep/19021/sink.s3,t,0.0
benchmark/laut/x-str-rep/16988/sink.s3,x,0.000000
benchmark/laut/x-str-rep/17218/sink.s3,x,0.000000
benchmark/laut/x-str-rep/29656/sink.s3,x,0.000000
benchmark/laut/x-str-rep/25888/sink.s3,t,0.0
benchmark/laut/x-str-rep/7102/sink.s3,1,0.216282
benchmark/laut/x-str-rep/29882/sink.s3,x,0.000000
benchmark/laut/x-str-rep/21331/sink.s3,x,0.000000
benchmark/laut/x-str-rep/14787/sink.s3,x,0.000000
benchmark/laut/x-str-rep/17892/sink.s3,x,0.000000
benchmark/laut/x-str-rep/29673/sink.s3,x,0.000000
benchmark/laut/x-str-rep/21094/sink.s3,x,0.000000
benchmark/laut/x-str-rep/17728/sink.s3,x,0.000000
benchmark/laut/x-str-rep/19273/sink.s3,x,0.000000
benchmark/laut/x-str-rep/19456/sink.s3,x,0.000000
benchmark/laut/x-str-rep/29903/sink.s3,x,0.000000
