benchmark=x-str-rep,solver=z3,TO=20.000000
path,sat,time
benchmark/laut/x-str-rep/20623/sink.smt2,0,0.033031
benchmark/laut/x-str-rep/6346/sink.smt2,0,0.033450
benchmark/laut/x-str-rep/23472/sink.smt2,0,0.033415
benchmark/laut/x-str-rep/22530/sink.smt2,0,0.033375
benchmark/laut/x-str-rep/19755/sink.smt2,0,0.033427
benchmark/laut/x-str-rep/30007/sink.smt2,0,0.033418
benchmark/laut/x-str-rep/22141/sink.smt2,0,0.033357
benchmark/laut/x-str-rep/30552/sink.smt2,0,0.033354
benchmark/laut/x-str-rep/19373/sink.smt2,0,0.033444
benchmark/laut/x-str-rep/8280/sink.smt2,0,0.033450
benchmark/laut/x-str-rep/29462/sink.smt2,0,0.033373
benchmark/laut/x-str-rep/29569/sink.smt2,0,0.033353
benchmark/laut/x-str-rep/2179/sink.smt2,0,0.033404
benchmark/laut/x-str-rep/20830/sink.smt2,0,0.033430
benchmark/laut/x-str-rep/22066/sink.smt2,0,0.033387
benchmark/laut/x-str-rep/15962/sink.smt2,x,0.000000
benchmark/laut/x-str-rep/29589/sink.smt2,0,0.033271
benchmark/laut/x-str-rep/30060/sink.smt2,0,0.033378
benchmark/laut/x-str-rep/30166/sink.smt2,0,0.033441
benchmark/laut/x-str-rep/30320/sink.smt2,0,0.033525
benchmark/laut/x-str-rep/21218/sink.smt2,0,0.033374
benchmark/laut/x-str-rep/19826/sink.smt2,0,0.033491
benchmark/laut/x-str-rep/15976/sink.smt2,x,0.000000
benchmark/laut/x-str-rep/21200/sink.smt2,0,0.033435
benchmark/laut/x-str-rep/29326/sink.smt2,0,0.033434
benchmark/laut/x-str-rep/17856/sink.smt2,0,0.033413
benchmark/laut/x-str-rep/19332/sink.smt2,0,0.065551
benchmark/laut/x-str-rep/17131/sink.smt2,0,0.033473
benchmark/laut/x-str-rep/14050/sink.smt2,x,0.000000
benchmark/laut/x-str-rep/19041/sink.smt2,0,0.033347
benchmark/laut/x-str-rep/17014/sink.smt2,0,0.033408
benchmark/laut/x-str-rep/4413/sink.smt2,0,0.115220
benchmark/laut/x-str-rep/8276/sink.smt2,0,0.033486
benchmark/laut/x-str-rep/29601/sink.smt2,0,0.033458
benchmark/laut/x-str-rep/19630/sink.smt2,0,0.033454
benchmark/laut/x-str-rep/3237/sink.smt2,0,0.033438
benchmark/laut/x-str-rep/24522/sink.smt2,x,0.000000
benchmark/laut/x-str-rep/17951/sink.smt2,0,0.033345
benchmark/laut/x-str-rep/19253/sink.smt2,0,0.033415
benchmark/laut/x-str-rep/4429/sink.smt2,0,0.065585
benchmark/laut/x-str-rep/26083/sink.smt2,x,0.000000
benchmark/laut/x-str-rep/29697/sink.smt2,0,0.033329
benchmark/laut/x-str-rep/21024/sink.smt2,0,0.033409
benchmark/laut/x-str-rep/18213/sink.smt2,0,0.033420
benchmark/laut/x-str-rep/21110/sink.smt2,0,0.032971
benchmark/laut/x-str-rep/17301/sink.smt2,0,0.033486
benchmark/laut/x-str-rep/29300/sink.smt2,0,0.065486
benchmark/laut/x-str-rep/22257/sink.smt2,0,0.033467
benchmark/laut/x-str-rep/30210/sink.smt2,0,0.033387
benchmark/laut/x-str-rep/29737/sink.smt2,0,0.033371
benchmark/laut/x-str-rep/30076/sink.smt2,0,0.033376
benchmark/laut/x-str-rep/19526/sink.smt2,0,0.033409
benchmark/laut/x-str-rep/19574/sink.smt2,0,0.033419
benchmark/laut/x-str-rep/21254/sink.smt2,0,0.033379
benchmark/laut/x-str-rep/26181/sink.smt2,x,0.000000
benchmark/laut/x-str-rep/22158/sink.smt2,0,0.033284
benchmark/laut/x-str-rep/24814/sink.smt2,x,0.000000
benchmark/laut/x-str-rep/20986/sink.smt2,0,0.033284
benchmark/laut/x-str-rep/17461/sink.smt2,0,0.033425
benchmark/laut/x-str-rep/2200/sink.smt2,0,0.032997
benchmark/laut/x-str-rep/21380/sink.smt2,0,0.033460
benchmark/laut/x-str-rep/22377/sink.smt2,0,0.033418
benchmark/laut/x-str-rep/19611/sink.smt2,0,0.034356
benchmark/laut/x-str-rep/30039/sink.smt2,0,0.033684
benchmark/laut/x-str-rep/21602/sink.smt2,0,0.065544
benchmark/laut/x-str-rep/18138/sink.smt2,0,0.033537
benchmark/laut/x-str-rep/20586/sink.smt2,0,0.033385
benchmark/laut/x-str-rep/22129/sink.smt2,0,0.033473
benchmark/laut/x-str-rep/10205/sink.smt2,0,0.033445
benchmark/laut/x-str-rep/30232/sink.smt2,0,0.033467
benchmark/laut/x-str-rep/17803/sink.smt2,0,0.033501
benchmark/laut/x-str-rep/12119/sink.smt2,0,0.065578
benchmark/laut/x-str-rep/2166/sink.smt2,0,0.033427
benchmark/laut/x-str-rep/17575/sink.smt2,0,0.033509
benchmark/laut/x-str-rep/30136/sink.smt2,0,0.033367
benchmark/laut/x-str-rep/26154/sink.smt2,x,0.000000
benchmark/laut/x-str-rep/17916/sink.smt2,0,0.033295
benchmark/laut/x-str-rep/19701/sink.smt2,0,0.033469
benchmark/laut/x-str-rep/20871/sink.smt2,0,0.033344
