benchmark=kaluza,solver=trau,TO=20.000000
path,sat,time
benchmark/laut/kaluza/1077/sink.s3,0,0.034464
benchmark/laut/kaluza/1742/sink.s3,0,0.035236
benchmark/laut/kaluza/1156/sink.s3,0,0.020735
benchmark/laut/kaluza/1668/sink.s3,0,0.034418
benchmark/laut/kaluza/211/sink.s3,1,0.035078
benchmark/laut/kaluza/167/sink.s3,1,0.065782
benchmark/laut/kaluza/1689/sink.s3,0,0.037274
benchmark/laut/kaluza/851/sink.s3,0,0.018640
benchmark/laut/kaluza/1917/sink.s3,0,0.035893
benchmark/laut/kaluza/839/sink.s3,1,0.068928
benchmark/laut/kaluza/1471/sink.s3,1,0.069202
benchmark/laut/kaluza/620/sink.s3,1,0.067070
benchmark/laut/kaluza/1184/sink.s3,1,0.065559
benchmark/laut/kaluza/1245/sink.s3,1,0.118161
benchmark/laut/kaluza/873/sink.s3,1,0.072142
benchmark/laut/kaluza/467/sink.s3,0,0.035673
benchmark/laut/kaluza/1091/sink.s3,1,0.068974
benchmark/laut/kaluza/1701/sink.s3,1,0.067198
benchmark/laut/kaluza/489/sink.s3,1,0.069806
benchmark/laut/kaluza/276/sink.s3,1,0.072883
benchmark/laut/kaluza/1239/sink.s3,1,0.072668
benchmark/laut/kaluza/1834/sink.s3,0,0.017750
benchmark/laut/kaluza/605/sink.s3,0,0.019687
benchmark/laut/kaluza/510/sink.s3,1,0.069071
benchmark/laut/kaluza/1061/sink.s3,1,0.065510
benchmark/laut/kaluza/1082/sink.s3,0,0.018548
benchmark/laut/kaluza/1729/sink.s3,0,0.021187
benchmark/laut/kaluza/13/sink.s3,1,0.066314
benchmark/laut/kaluza/1518/sink.s3,0,0.036140
benchmark/laut/kaluza/1455/sink.s3,0,0.018218
benchmark/laut/kaluza/1686/sink.s3,0,0.018334
benchmark/laut/kaluza/1978/sink.s3,1,0.068089
benchmark/laut/kaluza/1699/sink.s3,0,0.019283
benchmark/laut/kaluza/1905/sink.s3,0,0.034462
benchmark/laut/kaluza/49/sink.s3,1,0.065186
benchmark/laut/kaluza/1513/sink.s3,1,0.070034
benchmark/laut/kaluza/1339/sink.s3,0,0.071918
benchmark/laut/kaluza/1243/sink.s3,1,0.065253
benchmark/laut/kaluza/770/sink.s3,1,0.070375
benchmark/laut/kaluza/1318/sink.s3,0,0.069642
benchmark/laut/kaluza/257/sink.s3,1,0.066699
benchmark/laut/kaluza/390/sink.s3,1,0.070889
benchmark/laut/kaluza/1426/sink.s3,1,0.073562
benchmark/laut/kaluza/1039/sink.s3,0,0.067138
benchmark/laut/kaluza/216/sink.s3,1,0.625429
benchmark/laut/kaluza/607/sink.s3,0,0.019253
benchmark/laut/kaluza/399/sink.s3,0,0.040839
