benchmark=kaluza,solver=ic3ia,TO=20.000000
path,sat,time,step
benchmark/laut/kaluza/205/sink.vmt,0,0.022569,1
benchmark/laut/kaluza/149/sink.vmt,1,0.043646,4
benchmark/laut/kaluza/318/sink.vmt,1,0.020222,1
benchmark/laut/kaluza/1259/sink.vmt,1,0.321088,11
benchmark/laut/kaluza/1291/sink.vmt,1,0.319097,20
benchmark/laut/kaluza/1980/sink.vmt,0,0.066026,1
benchmark/laut/kaluza/174/sink.vmt,1,0.066634,4
benchmark/laut/kaluza/762/sink.vmt,1,0.170982,18
benchmark/laut/kaluza/30/sink.vmt,1,0.035121,4
benchmark/laut/kaluza/909/sink.vmt,1,0.068025,4
benchmark/laut/kaluza/316/sink.vmt,1,6.647966,59
benchmark/laut/kaluza/1077/sink.vmt,0,0.041102,1
benchmark/laut/kaluza/1742/sink.vmt,0,0.168652,9
benchmark/laut/kaluza/1156/sink.vmt,0,0.034448,1
benchmark/laut/kaluza/1668/sink.vmt,0,0.071074,1
benchmark/laut/kaluza/211/sink.vmt,1,0.040228,0
benchmark/laut/kaluza/167/sink.vmt,1,0.067644,4
benchmark/laut/kaluza/1689/sink.vmt,0,0.034090,1
benchmark/laut/kaluza/851/sink.vmt,0,0.022192,1
benchmark/laut/kaluza/1917/sink.vmt,0,0.037817,1
benchmark/laut/kaluza/839/sink.vmt,1,0.218989,19
benchmark/laut/kaluza/1471/sink.vmt,1,0.369514,11
benchmark/laut/kaluza/620/sink.vmt,1,0.070975,1
benchmark/laut/kaluza/1184/sink.vmt,1,0.216915,19
benchmark/laut/kaluza/1245/sink.vmt,1,0.266934,19
benchmark/laut/kaluza/873/sink.vmt,1,0.033678,1
benchmark/laut/kaluza/467/sink.vmt,0,0.036885,1
benchmark/laut/kaluza/1091/sink.vmt,1,0.268996,20
benchmark/laut/kaluza/1701/sink.vmt,1,0.324296,20
benchmark/laut/kaluza/489/sink.vmt,1,0.321595,20
benchmark/laut/kaluza/276/sink.vmt,1,0.034952,1
benchmark/laut/kaluza/1239/sink.vmt,1,0.269514,19
benchmark/laut/kaluza/1834/sink.vmt,0,0.037573,1
benchmark/laut/kaluza/605/sink.vmt,0,0.041608,1
benchmark/laut/kaluza/510/sink.vmt,1,0.273987,20
benchmark/laut/kaluza/1061/sink.vmt,1,0.034026,1
benchmark/laut/kaluza/1082/sink.vmt,0,0.015897,1
benchmark/laut/kaluza/1729/sink.vmt,0,0.036945,1
benchmark/laut/kaluza/13/sink.vmt,1,0.033434,1
benchmark/laut/kaluza/1518/sink.vmt,0,0.033899,1
benchmark/laut/kaluza/1455/sink.vmt,0,0.035963,1
benchmark/laut/kaluza/1686/sink.vmt,0,0.016859,1
benchmark/laut/kaluza/1978/sink.vmt,1,0.032799,1
benchmark/laut/kaluza/1699/sink.vmt,0,0.020410,1
benchmark/laut/kaluza/1905/sink.vmt,0,0.024695,1
benchmark/laut/kaluza/49/sink.vmt,1,0.065524,8
benchmark/laut/kaluza/1513/sink.vmt,1,0.034604,0
