benchmark=kaluza,solver=s3p,TO=20.000000
path,sat,time
benchmark/laut/kaluza/1077/sink.s3,0,0.035249
benchmark/laut/kaluza/1742/sink.s3,0,0.039552
benchmark/laut/kaluza/1156/sink.s3,0,0.035477
benchmark/laut/kaluza/1668/sink.s3,0,0.034238
benchmark/laut/kaluza/211/sink.s3,1,0.069156
benchmark/laut/kaluza/167/sink.s3,1,0.077879
benchmark/laut/kaluza/1689/sink.s3,0,0.034547
benchmark/laut/kaluza/851/sink.s3,0,0.034222
benchmark/laut/kaluza/1917/sink.s3,0,0.068911
benchmark/laut/kaluza/839/sink.s3,1,0.041610
benchmark/laut/kaluza/1471/sink.s3,1,0.067609
benchmark/laut/kaluza/620/sink.s3,1,0.070384
benchmark/laut/kaluza/1184/sink.s3,1,0.036797
benchmark/laut/kaluza/1245/sink.s3,1,0.065183
benchmark/laut/kaluza/873/sink.s3,1,0.065947
benchmark/laut/kaluza/467/sink.s3,0,0.019959
benchmark/laut/kaluza/1091/sink.s3,1,0.036829
benchmark/laut/kaluza/1701/sink.s3,1,0.035725
benchmark/laut/kaluza/489/sink.s3,1,0.035246
benchmark/laut/kaluza/276/sink.s3,1,0.034762
benchmark/laut/kaluza/1239/sink.s3,1,0.065733
benchmark/laut/kaluza/1834/sink.s3,0,0.040570
benchmark/laut/kaluza/605/sink.s3,0,0.036912
benchmark/laut/kaluza/510/sink.s3,1,0.035759
benchmark/laut/kaluza/1061/sink.s3,1,0.035196
benchmark/laut/kaluza/1082/sink.s3,0,0.036042
benchmark/laut/kaluza/1729/sink.s3,0,0.076351
benchmark/laut/kaluza/13/sink.s3,1,0.067458
benchmark/laut/kaluza/1518/sink.s3,0,0.069283
benchmark/laut/kaluza/1455/sink.s3,0,0.069240
benchmark/laut/kaluza/1686/sink.s3,0,0.035417
benchmark/laut/kaluza/1978/sink.s3,1,0.038712
benchmark/laut/kaluza/1699/sink.s3,0,0.034463
benchmark/laut/kaluza/1905/sink.s3,0,0.040722
benchmark/laut/kaluza/49/sink.s3,1,0.037902
benchmark/laut/kaluza/1513/sink.s3,1,0.038967
benchmark/laut/kaluza/1339/sink.s3,0,0.043379
benchmark/laut/kaluza/1243/sink.s3,1,0.035598
benchmark/laut/kaluza/770/sink.s3,1,0.072121
benchmark/laut/kaluza/1318/sink.s3,0,0.070199
benchmark/laut/kaluza/257/sink.s3,1,0.035126
benchmark/laut/kaluza/390/sink.s3,1,0.035557
benchmark/laut/kaluza/1426/sink.s3,1,0.066953
benchmark/laut/kaluza/1039/sink.s3,0,0.036729
benchmark/laut/kaluza/216/sink.s3,1,0.267304
benchmark/laut/kaluza/607/sink.s3,0,0.035066
