benchmark=kaluza,solver=norn,TO=20.000000
path,sat,time
benchmark/laut/kaluza/762/sink.smt2,1,1.127022
benchmark/laut/kaluza/30/sink.smt2,1,0.979531
benchmark/laut/kaluza/909/sink.smt2,1,1.028180
benchmark/laut/kaluza/316/sink.smt2,1,2.333830
benchmark/laut/kaluza/1077/sink.smt2,0,0.924373
benchmark/laut/kaluza/1742/sink.smt2,0,0.928992
benchmark/laut/kaluza/1156/sink.smt2,0,0.847877
benchmark/laut/kaluza/1668/sink.smt2,0,0.873331
benchmark/laut/kaluza/211/sink.smt2,1,0.925263
benchmark/laut/kaluza/167/sink.smt2,1,1.025022
benchmark/laut/kaluza/1689/sink.smt2,0,0.822592
benchmark/laut/kaluza/851/sink.smt2,0,0.772024
benchmark/laut/kaluza/1917/sink.smt2,0,0.968440
benchmark/laut/kaluza/839/sink.smt2,1,1.125688
benchmark/laut/kaluza/1471/sink.smt2,1,1.029672
benchmark/laut/kaluza/620/sink.smt2,1,1.077730
benchmark/laut/kaluza/1184/sink.smt2,1,1.178645
benchmark/laut/kaluza/1245/sink.smt2,1,1.282068
benchmark/laut/kaluza/873/sink.smt2,1,1.025117
benchmark/laut/kaluza/467/sink.smt2,0,0.771379
benchmark/laut/kaluza/1091/sink.smt2,1,1.127646
benchmark/laut/kaluza/1701/sink.smt2,1,1.227468
benchmark/laut/kaluza/489/sink.smt2,1,1.178968
benchmark/laut/kaluza/276/sink.smt2,1,1.032158
benchmark/laut/kaluza/1239/sink.smt2,1,1.126000
benchmark/laut/kaluza/1834/sink.smt2,0,0.824833
benchmark/laut/kaluza/605/sink.smt2,0,0.874936
benchmark/laut/kaluza/510/sink.smt2,1,1.229878
benchmark/laut/kaluza/1061/sink.smt2,1,1.024485
benchmark/laut/kaluza/1082/sink.smt2,0,0.823795
benchmark/laut/kaluza/1729/sink.smt2,0,0.774292
benchmark/laut/kaluza/13/sink.smt2,1,1.072225
benchmark/laut/kaluza/1518/sink.smt2,0,0.832560
benchmark/laut/kaluza/1455/sink.smt2,0,0.824144
benchmark/laut/kaluza/1686/sink.smt2,0,0.771567
benchmark/laut/kaluza/1978/sink.smt2,1,1.027548
benchmark/laut/kaluza/1699/sink.smt2,0,0.826836
benchmark/laut/kaluza/1905/sink.smt2,0,0.824699
benchmark/laut/kaluza/49/sink.smt2,1,1.073568
benchmark/laut/kaluza/1513/sink.smt2,1,0.973586
benchmark/laut/kaluza/1339/sink.smt2,0,0.924594
benchmark/laut/kaluza/1243/sink.smt2,1,1.032240
benchmark/laut/kaluza/770/sink.smt2,1,1.028322
benchmark/laut/kaluza/1318/sink.smt2,0,0.822879
benchmark/laut/kaluza/257/sink.smt2,1,0.977878
benchmark/laut/kaluza/390/sink.smt2,1,1.077117
benchmark/laut/kaluza/1426/sink.smt2,1,1.077943
benchmark/laut/kaluza/1039/sink.smt2,0,0.974387
benchmark/laut/kaluza/216/sink.smt2,1,2.436402
benchmark/laut/kaluza/607/sink.smt2,0,0.826791
benchmark/laut/kaluza/399/sink.smt2,0,0.821463
benchmark/laut/kaluza/1127/sink.smt2,0,0.874497
benchmark/laut/kaluza/1452/sink.smt2,0,0.823090
benchmark/laut/kaluza/735/sink.smt2,1,0.975192
benchmark/laut/kaluza/920/sink.smt2,0,0.872804
benchmark/laut/kaluza/1261/sink.smt2,0,0.927921
benchmark/laut/kaluza/348/sink.smt2,1,0.924638
benchmark/laut/kaluza/492/sink.smt2,1,1.026417
benchmark/laut/kaluza/670/sink.smt2,0,0.774308
benchmark/laut/kaluza/1449/sink.smt2,0,0.820559
benchmark/laut/kaluza/209/sink.smt2,1,0.973812
benchmark/laut/kaluza/776/sink.smt2,0,0.773152
benchmark/laut/kaluza/1067/sink.smt2,0,0.820613
benchmark/laut/kaluza/797/sink.smt2,0,0.975096
benchmark/laut/kaluza/1276/sink.smt2,1,1.174627
benchmark/laut/kaluza/1369/sink.smt2,1,1.126980
benchmark/laut/kaluza/1430/sink.smt2,1,1.027085
benchmark/laut/kaluza/338/sink.smt2,1,1.126772
benchmark/laut/kaluza/653/sink.smt2,1,1.074276
benchmark/laut/kaluza/1577/sink.smt2,0,0.826349
benchmark/laut/kaluza/344/sink.smt2,1,1.132346
benchmark/laut/kaluza/1961/sink.smt2,0,0.826362
benchmark/laut/kaluza/611/sink.smt2,1,1.029585
benchmark/laut/kaluza/1586/sink.smt2,1,1.183681
benchmark/laut/kaluza/184/sink.smt2,1,1.028833
benchmark/laut/kaluza/1341/sink.smt2,0,0.824247
benchmark/laut/kaluza/1808/sink.smt2,0,0.822584
benchmark/laut/kaluza/994/sink.smt2,0,0.776103
benchmark/laut/kaluza/406/sink.smt2,0,0.971205
benchmark/laut/kaluza/880/sink.smt2,0,0.838163
benchmark/laut/kaluza/551/sink.smt2,0,0.880926
benchmark/laut/kaluza/1026/sink.smt2,0,0.975655
benchmark/laut/kaluza/449/sink.smt2,0,0.829959
benchmark/laut/kaluza/1060/sink.smt2,0,0.823450
benchmark/laut/kaluza/1850/sink.smt2,1,1.021730
benchmark/laut/kaluza/1817/sink.smt2,0,0.822060
benchmark/laut/kaluza/884/sink.smt2,0,0.876724
benchmark/laut/kaluza/42/sink.smt2,1,1.022495
benchmark/laut/kaluza/67/sink.smt2,1,1.027242
benchmark/laut/kaluza/1202/sink.smt2,1,1.228925
benchmark/laut/kaluza/102/sink.smt2,1,1.029077
benchmark/laut/kaluza/1918/sink.smt2,0,0.873110
benchmark/laut/kaluza/1892/sink.smt2,1,1.381345
benchmark/laut/kaluza/700/sink.smt2,1,1.176850
benchmark/laut/kaluza/826/sink.smt2,1,1.125461
benchmark/laut/kaluza/28/sink.smt2,1,1.026307
benchmark/laut/kaluza/854/sink.smt2,1,1.127478
benchmark/laut/kaluza/1950/sink.smt2,0,0.823545
benchmark/laut/kaluza/925/sink.smt2,1,1.174471
benchmark/laut/kaluza/326/sink.smt2,0,0.824564
benchmark/laut/kaluza/1443/sink.smt2,0,0.820872
benchmark/laut/kaluza/213/sink.smt2,1,0.977566
benchmark/laut/kaluza/1314/sink.smt2,0,1.081503
benchmark/laut/kaluza/705/sink.smt2,1,1.226223
benchmark/laut/kaluza/455/sink.smt2,0,1.128786
benchmark/laut/kaluza/491/sink.smt2,0,0.925511
benchmark/laut/kaluza/685/sink.smt2,1,1.378366
benchmark/laut/kaluza/1034/sink.smt2,1,1.177497
benchmark/laut/kaluza/81/sink.smt2,1,1.276745
benchmark/laut/kaluza/460/sink.smt2,0,0.825324
benchmark/laut/kaluza/414/sink.smt2,1,1.124237
benchmark/laut/kaluza/1609/sink.smt2,0,0.874312
benchmark/laut/kaluza/147/sink.smt2,1,1.074687
benchmark/laut/kaluza/1714/sink.smt2,0,0.870908
benchmark/laut/kaluza/1248/sink.smt2,0,0.827784
benchmark/laut/kaluza/1864/sink.smt2,0,0.831411
benchmark/laut/kaluza/713/sink.smt2,1,1.040234
benchmark/laut/kaluza/362/sink.smt2,0,0.875110
benchmark/laut/kaluza/728/sink.smt2,0,0.776068
benchmark/laut/kaluza/1684/sink.smt2,1,0.973578
benchmark/laut/kaluza/1270/sink.smt2,0,0.823509
benchmark/laut/kaluza/1770/sink.smt2,t,0.0
benchmark/laut/kaluza/1700/sink.smt2,1,1.127013
benchmark/laut/kaluza/1784/sink.smt2,0,0.872461
benchmark/laut/kaluza/446/sink.smt2,0,0.821180
benchmark/laut/kaluza/1965/sink.smt2,1,1.679191
benchmark/laut/kaluza/822/sink.smt2,1,1.222149
benchmark/laut/kaluza/1048/sink.smt2,1,1.224787
benchmark/laut/kaluza/3/sink.smt2,0,0.830429
benchmark/laut/kaluza/1168/sink.smt2,0,0.983934
benchmark/laut/kaluza/515/sink.smt2,0,0.971410
benchmark/laut/kaluza/1594/sink.smt2,0,0.934273
benchmark/laut/kaluza/1188/sink.smt2,0,0.823474
benchmark/laut/kaluza/1190/sink.smt2,0,0.875208
benchmark/laut/kaluza/1056/sink.smt2,1,1.023543
benchmark/laut/kaluza/1608/sink.smt2,0,0.773637
benchmark/laut/kaluza/179/sink.smt2,1,1.025369
benchmark/laut/kaluza/931/sink.smt2,1,1.181994
benchmark/laut/kaluza/1189/sink.smt2,0,0.873988
benchmark/laut/kaluza/1664/sink.smt2,1,1.079918
benchmark/laut/kaluza/1923/sink.smt2,1,1.077481
benchmark/laut/kaluza/1478/sink.smt2,0,0.824952
benchmark/laut/kaluza/985/sink.smt2,0,0.876927
benchmark/laut/kaluza/1694/sink.smt2,0,0.929369
benchmark/laut/kaluza/628/sink.smt2,1,1.136207
