benchmark=kaluza,solver=abc,TO=20.000000
path,sat,time,step
benchmark/laut/kaluza/1259/sink.abc,1,0.270457,23
benchmark/laut/kaluza/1291/sink.abc,1,0.521808,22
benchmark/laut/kaluza/1980/sink.abc,0,0.123342,1
benchmark/laut/kaluza/174/sink.abc,1,0.117439,5
benchmark/laut/kaluza/762/sink.abc,1,0.117573,19
benchmark/laut/kaluza/30/sink.abc,1,0.119704,5
benchmark/laut/kaluza/909/sink.abc,1,0.120904,5
benchmark/laut/kaluza/316/sink.abc,1,13.114764,109
benchmark/laut/kaluza/1077/sink.abc,0,0.223710,1
benchmark/laut/kaluza/1742/sink.abc,0,0.118191,1
benchmark/laut/kaluza/1156/sink.abc,0,0.125025,1
benchmark/laut/kaluza/1668/sink.abc,0,0.121175,1
benchmark/laut/kaluza/211/sink.abc,1,0.120411,1
benchmark/laut/kaluza/167/sink.abc,1,0.119656,5
benchmark/laut/kaluza/1689/sink.abc,0,0.120325,1
benchmark/laut/kaluza/851/sink.abc,0,0.117751,1
benchmark/laut/kaluza/1917/sink.abc,0,0.169760,1
benchmark/laut/kaluza/839/sink.abc,1,0.168035,20
benchmark/laut/kaluza/1471/sink.abc,1,0.219125,15
benchmark/laut/kaluza/620/sink.abc,1,0.116562,2
benchmark/laut/kaluza/1184/sink.abc,1,0.118083,20
benchmark/laut/kaluza/1245/sink.abc,1,0.171341,20
benchmark/laut/kaluza/873/sink.abc,1,0.123958,2
benchmark/laut/kaluza/467/sink.abc,0,0.118437,1
benchmark/laut/kaluza/1091/sink.abc,1,0.168016,21
benchmark/laut/kaluza/1701/sink.abc,1,0.223818,22
benchmark/laut/kaluza/489/sink.abc,1,0.524313,22
benchmark/laut/kaluza/276/sink.abc,1,0.119535,2
benchmark/laut/kaluza/1239/sink.abc,1,0.179290,20
benchmark/laut/kaluza/1834/sink.abc,0,0.119861,1
benchmark/laut/kaluza/605/sink.abc,0,0.118727,1
benchmark/laut/kaluza/510/sink.abc,1,0.171129,21
benchmark/laut/kaluza/1061/sink.abc,1,0.119717,2
benchmark/laut/kaluza/1082/sink.abc,0,0.116770,1
benchmark/laut/kaluza/1729/sink.abc,0,0.121925,1
benchmark/laut/kaluza/13/sink.abc,1,0.118896,2
benchmark/laut/kaluza/1518/sink.abc,0,0.171837,1
benchmark/laut/kaluza/1455/sink.abc,0,0.147057,1
benchmark/laut/kaluza/1686/sink.abc,0,0.120052,1
benchmark/laut/kaluza/1978/sink.abc,1,0.118754,2
benchmark/laut/kaluza/1699/sink.abc,0,0.127903,1
benchmark/laut/kaluza/1905/sink.abc,0,0.118144,1
benchmark/laut/kaluza/49/sink.abc,1,0.120725,9
benchmark/laut/kaluza/1513/sink.abc,1,0.121157,1
benchmark/laut/kaluza/1339/sink.abc,0,0.122728,1
benchmark/laut/kaluza/1243/sink.abc,1,0.120404,1
benchmark/laut/kaluza/770/sink.abc,1,0.120652,2
benchmark/laut/kaluza/1318/sink.abc,0,0.116926,1
benchmark/laut/kaluza/257/sink.abc,1,0.122737,5
benchmark/laut/kaluza/390/sink.abc,1,0.118877,2
benchmark/laut/kaluza/1426/sink.abc,1,0.166520,23
benchmark/laut/kaluza/1039/sink.abc,0,0.116982,1
benchmark/laut/kaluza/216/sink.abc,t,0.0,0
benchmark/laut/kaluza/607/sink.abc,0,0.116716,1
benchmark/laut/kaluza/399/sink.abc,0,0.118024,1
benchmark/laut/kaluza/1127/sink.abc,0,0.115623,1
benchmark/laut/kaluza/1452/sink.abc,0,0.119532,1
benchmark/laut/kaluza/735/sink.abc,1,0.171110,23
benchmark/laut/kaluza/920/sink.abc,0,0.118892,1
benchmark/laut/kaluza/1261/sink.abc,0,0.471459,1
benchmark/laut/kaluza/348/sink.abc,1,0.118831,1
benchmark/laut/kaluza/492/sink.abc,1,0.218261,23
benchmark/laut/kaluza/670/sink.abc,0,0.123230,1
benchmark/laut/kaluza/1449/sink.abc,0,0.122935,1
benchmark/laut/kaluza/209/sink.abc,1,0.120798,5
benchmark/laut/kaluza/776/sink.abc,0,0.118029,1
benchmark/laut/kaluza/1067/sink.abc,0,0.120135,1
benchmark/laut/kaluza/797/sink.abc,0,0.117897,1
benchmark/laut/kaluza/1276/sink.abc,1,0.168547,20
benchmark/laut/kaluza/1369/sink.abc,1,0.168877,12
benchmark/laut/kaluza/1430/sink.abc,1,0.118413,1
benchmark/laut/kaluza/338/sink.abc,1,0.170432,21
benchmark/laut/kaluza/653/sink.abc,1,0.170158,23
benchmark/laut/kaluza/1577/sink.abc,0,0.116731,1
benchmark/laut/kaluza/344/sink.abc,1,0.168211,20
benchmark/laut/kaluza/1961/sink.abc,0,0.119295,1
benchmark/laut/kaluza/611/sink.abc,1,0.122998,1
benchmark/laut/kaluza/1586/sink.abc,1,0.178084,20
benchmark/laut/kaluza/184/sink.abc,1,0.119331,1
benchmark/laut/kaluza/1341/sink.abc,0,0.126818,1
benchmark/laut/kaluza/1808/sink.abc,0,0.116439,1
benchmark/laut/kaluza/994/sink.abc,0,0.119290,1
benchmark/laut/kaluza/406/sink.abc,0,0.118230,1
benchmark/laut/kaluza/880/sink.abc,0,0.122060,1
benchmark/laut/kaluza/551/sink.abc,0,0.131954,1
benchmark/laut/kaluza/1026/sink.abc,0,0.121117,1
benchmark/laut/kaluza/449/sink.abc,0,0.170364,1
benchmark/laut/kaluza/1060/sink.abc,0,0.130722,1
benchmark/laut/kaluza/1850/sink.abc,1,0.121116,2
benchmark/laut/kaluza/1817/sink.abc,0,0.119808,1
benchmark/laut/kaluza/884/sink.abc,0,0.117685,1
benchmark/laut/kaluza/42/sink.abc,1,0.119240,5
benchmark/laut/kaluza/67/sink.abc,1,0.118159,5
benchmark/laut/kaluza/1202/sink.abc,1,0.173211,21
benchmark/laut/kaluza/102/sink.abc,1,0.118689,5
benchmark/laut/kaluza/1918/sink.abc,0,0.121115,1
benchmark/laut/kaluza/1892/sink.abc,1,0.268544,26
benchmark/laut/kaluza/700/sink.abc,1,0.167414,21
benchmark/laut/kaluza/826/sink.abc,1,0.119497,12
benchmark/laut/kaluza/28/sink.abc,1,0.120156,5
benchmark/laut/kaluza/854/sink.abc,1,0.519912,22
benchmark/laut/kaluza/1950/sink.abc,0,0.120351,1
benchmark/laut/kaluza/925/sink.abc,1,0.222128,21
benchmark/laut/kaluza/326/sink.abc,0,0.116549,1
benchmark/laut/kaluza/1443/sink.abc,0,0.167029,1
benchmark/laut/kaluza/213/sink.abc,1,0.119982,5
benchmark/laut/kaluza/1314/sink.abc,0,0.121563,1
benchmark/laut/kaluza/705/sink.abc,1,0.168338,21
benchmark/laut/kaluza/455/sink.abc,0,0.177986,1
benchmark/laut/kaluza/491/sink.abc,0,0.118110,1
benchmark/laut/kaluza/685/sink.abc,1,0.275723,26
benchmark/laut/kaluza/1034/sink.abc,1,0.168542,22
benchmark/laut/kaluza/81/sink.abc,1,0.319008,6
benchmark/laut/kaluza/460/sink.abc,0,0.121815,1
benchmark/laut/kaluza/414/sink.abc,1,0.521338,22
benchmark/laut/kaluza/1609/sink.abc,0,0.120729,1
benchmark/laut/kaluza/147/sink.abc,1,0.220233,6
benchmark/laut/kaluza/1714/sink.abc,0,0.175168,1
benchmark/laut/kaluza/1248/sink.abc,0,0.129820,1
benchmark/laut/kaluza/1864/sink.abc,0,0.119272,1
benchmark/laut/kaluza/713/sink.abc,1,0.120451,1
benchmark/laut/kaluza/362/sink.abc,0,0.127212,1
benchmark/laut/kaluza/728/sink.abc,0,0.172899,1
benchmark/laut/kaluza/1684/sink.abc,1,0.118471,2
benchmark/laut/kaluza/1270/sink.abc,0,0.120802,1
benchmark/laut/kaluza/1770/sink.abc,t,0.0,0
benchmark/laut/kaluza/1700/sink.abc,1,0.167263,20
benchmark/laut/kaluza/1784/sink.abc,0,0.119882,1
benchmark/laut/kaluza/446/sink.abc,0,0.122940,1
benchmark/laut/kaluza/1965/sink.abc,1,4.151966,25
benchmark/laut/kaluza/822/sink.abc,1,0.171165,20
benchmark/laut/kaluza/1048/sink.abc,1,0.228639,21
benchmark/laut/kaluza/3/sink.abc,0,0.119342,1
benchmark/laut/kaluza/1168/sink.abc,0,0.119168,1
benchmark/laut/kaluza/515/sink.abc,0,0.118401,2
benchmark/laut/kaluza/1594/sink.abc,0,0.119937,1
benchmark/laut/kaluza/1188/sink.abc,0,0.120938,1
benchmark/laut/kaluza/1190/sink.abc,0,0.118093,1
benchmark/laut/kaluza/1056/sink.abc,1,0.116605,2
benchmark/laut/kaluza/1608/sink.abc,0,0.117173,1
benchmark/laut/kaluza/179/sink.abc,1,0.121216,1
benchmark/laut/kaluza/931/sink.abc,1,0.167714,21
benchmark/laut/kaluza/1189/sink.abc,0,0.125936,1
benchmark/laut/kaluza/1664/sink.abc,1,0.116811,2
benchmark/laut/kaluza/1923/sink.abc,1,0.118971,2
benchmark/laut/kaluza/1478/sink.abc,0,0.118814,1
benchmark/laut/kaluza/985/sink.abc,0,0.119269,1
benchmark/laut/kaluza/1694/sink.abc,0,0.116798,1
benchmark/laut/kaluza/628/sink.abc,1,0.172280,20
benchmark/laut/kaluza/375/sink.abc,1,0.135272,2
benchmark/laut/kaluza/407/sink.abc,0,0.124387,1
benchmark/laut/kaluza/16/sink.abc,1,0.118900,5
benchmark/laut/kaluza/1726/sink.abc,1,0.117632,10
benchmark/laut/kaluza/1556/sink.abc,0,0.120737,1
benchmark/laut/kaluza/1277/sink.abc,0,0.118205,1
benchmark/laut/kaluza/609/sink.abc,1,0.117289,12
benchmark/laut/kaluza/506/sink.abc,1,0.116145,12
benchmark/laut/kaluza/598/sink.abc,1,0.119261,12
benchmark/laut/kaluza/742/sink.abc,1,0.171045,21
benchmark/laut/kaluza/427/sink.abc,1,0.169518,23
benchmark/laut/kaluza/235/sink.abc,0,0.116175,1
benchmark/laut/kaluza/1663/sink.abc,1,0.120138,5
benchmark/laut/kaluza/756/sink.abc,1,0.171848,20
benchmark/laut/kaluza/238/sink.abc,1,0.120216,2
benchmark/laut/kaluza/833/sink.abc,1,0.117977,1
benchmark/laut/kaluza/1771/sink.abc,1,0.168672,21
benchmark/laut/kaluza/750/sink.abc,0,0.121219,1
benchmark/laut/kaluza/960/sink.abc,0,0.119441,1
benchmark/laut/kaluza/129/sink.abc,1,0.220346,7
benchmark/laut/kaluza/980/sink.abc,1,0.471868,22
benchmark/laut/kaluza/1559/sink.abc,0,0.121011,1
benchmark/laut/kaluza/1974/sink.abc,1,0.168542,2
benchmark/laut/kaluza/273/sink.abc,1,0.119481,1
benchmark/laut/kaluza/1054/sink.abc,0,0.168275,1
benchmark/laut/kaluza/278/sink.abc,1,0.129173,2
benchmark/laut/kaluza/549/sink.abc,0,0.122510,1
benchmark/laut/kaluza/1716/sink.abc,1,0.170994,21
benchmark/laut/kaluza/619/sink.abc,0,0.119661,1
benchmark/laut/kaluza/242/sink.abc,1,0.120808,1
benchmark/laut/kaluza/995/sink.abc,0,0.122112,1
benchmark/laut/kaluza/85/sink.abc,1,0.117082,3
benchmark/laut/kaluza/122/sink.abc,0,0.119244,1
benchmark/laut/kaluza/757/sink.abc,1,0.174007,21
benchmark/laut/kaluza/1667/sink.abc,0,0.121402,1
benchmark/laut/kaluza/1995/sink.abc,1,0.218203,22
benchmark/laut/kaluza/1810/sink.abc,1,0.169753,2
benchmark/laut/kaluza/1406/sink.abc,1,0.170520,12
benchmark/laut/kaluza/125/sink.abc,1,0.377612,6
benchmark/laut/kaluza/343/sink.abc,0,0.118628,1
benchmark/laut/kaluza/703/sink.abc,0,0.115653,1
benchmark/laut/kaluza/503/sink.abc,1,0.170860,20
