benchmark=kaluza,solver=ABC,TO=20.000000
path,sat,time
benchmark/laut/kaluza/1077/sink.s3,0,0.065187
benchmark/laut/kaluza/1742/sink.s3,0,0.167804
benchmark/laut/kaluza/1156/sink.s3,0,0.069558
benchmark/laut/kaluza/1668/sink.s3,0,0.064713
benchmark/laut/kaluza/211/sink.s3,1,0.068709
benchmark/laut/kaluza/167/sink.s3,1,0.115260
benchmark/laut/kaluza/1689/sink.s3,0,0.068172
benchmark/laut/kaluza/851/sink.s3,0,0.068177
benchmark/laut/kaluza/1917/sink.s3,0,0.067120
benchmark/laut/kaluza/839/sink.s3,1,0.267973
benchmark/laut/kaluza/1471/sink.s3,1,0.165771
benchmark/laut/kaluza/620/sink.s3,1,0.069466
benchmark/laut/kaluza/1184/sink.s3,1,0.267215
benchmark/laut/kaluza/1245/sink.s3,1,0.269916
benchmark/laut/kaluza/873/sink.s3,1,0.034433
benchmark/laut/kaluza/467/sink.s3,0,0.069805
benchmark/laut/kaluza/1091/sink.s3,1,0.274958
benchmark/laut/kaluza/1701/sink.s3,1,0.273392
benchmark/laut/kaluza/489/sink.s3,1,0.271336
benchmark/laut/kaluza/276/sink.s3,1,0.068076
benchmark/laut/kaluza/1239/sink.s3,1,0.267378
benchmark/laut/kaluza/1834/sink.s3,0,0.169205
benchmark/laut/kaluza/605/sink.s3,0,0.116089
benchmark/laut/kaluza/510/sink.s3,1,0.268859
benchmark/laut/kaluza/1061/sink.s3,1,0.032865
benchmark/laut/kaluza/1082/sink.s3,0,0.034233
benchmark/laut/kaluza/1729/sink.s3,0,0.036253
benchmark/laut/kaluza/13/sink.s3,1,0.042257
benchmark/laut/kaluza/1518/sink.s3,0,0.067606
benchmark/laut/kaluza/1455/sink.s3,0,0.022709
benchmark/laut/kaluza/1686/sink.s3,0,0.037329
benchmark/laut/kaluza/1978/sink.s3,1,0.073925
benchmark/laut/kaluza/1699/sink.s3,0,0.034038
benchmark/laut/kaluza/1905/sink.s3,0,0.036976
benchmark/laut/kaluza/49/sink.s3,1,0.178071
benchmark/laut/kaluza/1513/sink.s3,1,0.065395
