benchmark=kaluza,solver=z3,TO=20.000000
path,sat,time
benchmark/laut/kaluza/762/sink.smt2,1,0.032606
benchmark/laut/kaluza/30/sink.smt2,1,0.069499
benchmark/laut/kaluza/909/sink.smt2,1,0.019667
benchmark/laut/kaluza/316/sink.smt2,1,0.067935
benchmark/laut/kaluza/1077/sink.smt2,0,0.019582
benchmark/laut/kaluza/1742/sink.smt2,0,0.017291
benchmark/laut/kaluza/1156/sink.smt2,0,0.017385
benchmark/laut/kaluza/1668/sink.smt2,0,0.017116
benchmark/laut/kaluza/211/sink.smt2,1,0.019682
benchmark/laut/kaluza/167/sink.smt2,1,0.034498
benchmark/laut/kaluza/1689/sink.smt2,0,0.035911
benchmark/laut/kaluza/851/sink.smt2,0,0.018712
benchmark/laut/kaluza/1917/sink.smt2,0,0.022358
benchmark/laut/kaluza/839/sink.smt2,1,0.021771
benchmark/laut/kaluza/1471/sink.smt2,1,0.037625
benchmark/laut/kaluza/620/sink.smt2,1,0.022551
benchmark/laut/kaluza/1184/sink.smt2,1,0.023956
benchmark/laut/kaluza/1245/sink.smt2,1,0.019077
benchmark/laut/kaluza/873/sink.smt2,1,0.017476
benchmark/laut/kaluza/467/sink.smt2,0,0.019325
benchmark/laut/kaluza/1091/sink.smt2,1,0.036964
benchmark/laut/kaluza/1701/sink.smt2,1,0.038758
benchmark/laut/kaluza/489/sink.smt2,1,0.033799
benchmark/laut/kaluza/276/sink.smt2,1,0.037941
benchmark/laut/kaluza/1239/sink.smt2,1,0.020568
benchmark/laut/kaluza/1834/sink.smt2,0,0.017966
benchmark/laut/kaluza/605/sink.smt2,0,0.021381
benchmark/laut/kaluza/510/sink.smt2,1,0.038068
benchmark/laut/kaluza/1061/sink.smt2,1,0.040837
benchmark/laut/kaluza/1082/sink.smt2,0,0.040512
benchmark/laut/kaluza/1729/sink.smt2,0,0.016536
benchmark/laut/kaluza/13/sink.smt2,1,0.018206
benchmark/laut/kaluza/1518/sink.smt2,0,0.021228
benchmark/laut/kaluza/1455/sink.smt2,0,0.020221
benchmark/laut/kaluza/1686/sink.smt2,0,0.019024
benchmark/laut/kaluza/1978/sink.smt2,1,0.016715
benchmark/laut/kaluza/1699/sink.smt2,0,0.019397
benchmark/laut/kaluza/1905/sink.smt2,0,0.018532
benchmark/laut/kaluza/49/sink.smt2,1,0.020107
benchmark/laut/kaluza/1513/sink.smt2,1,0.017400
benchmark/laut/kaluza/1339/sink.smt2,0,0.018513
benchmark/laut/kaluza/1243/sink.smt2,1,0.020106
benchmark/laut/kaluza/770/sink.smt2,1,0.018403
benchmark/laut/kaluza/1318/sink.smt2,0,0.018910
benchmark/laut/kaluza/257/sink.smt2,1,0.034700
benchmark/laut/kaluza/390/sink.smt2,1,0.017848
benchmark/laut/kaluza/1426/sink.smt2,1,0.035782
benchmark/laut/kaluza/1039/sink.smt2,0,0.018194
benchmark/laut/kaluza/216/sink.smt2,1,0.069336
benchmark/laut/kaluza/607/sink.smt2,0,0.020926
benchmark/laut/kaluza/399/sink.smt2,0,0.019063
benchmark/laut/kaluza/1127/sink.smt2,0,0.018168
benchmark/laut/kaluza/1452/sink.smt2,0,0.016882
benchmark/laut/kaluza/735/sink.smt2,1,0.034738
benchmark/laut/kaluza/920/sink.smt2,0,0.040154
benchmark/laut/kaluza/1261/sink.smt2,0,0.018627
benchmark/laut/kaluza/348/sink.smt2,1,0.013749
benchmark/laut/kaluza/492/sink.smt2,1,0.023767
benchmark/laut/kaluza/670/sink.smt2,0,0.022017
benchmark/laut/kaluza/1449/sink.smt2,0,0.036567
benchmark/laut/kaluza/209/sink.smt2,1,0.039572
benchmark/laut/kaluza/776/sink.smt2,0,0.039424
benchmark/laut/kaluza/1067/sink.smt2,0,0.023500
benchmark/laut/kaluza/797/sink.smt2,0,0.019501
benchmark/laut/kaluza/1276/sink.smt2,1,0.037797
benchmark/laut/kaluza/1369/sink.smt2,1,0.033431
benchmark/laut/kaluza/1430/sink.smt2,1,0.035608
benchmark/laut/kaluza/338/sink.smt2,1,0.037628
benchmark/laut/kaluza/653/sink.smt2,1,0.034039
benchmark/laut/kaluza/1577/sink.smt2,0,0.034660
benchmark/laut/kaluza/344/sink.smt2,1,0.034300
benchmark/laut/kaluza/1961/sink.smt2,0,0.019512
benchmark/laut/kaluza/611/sink.smt2,1,0.019264
benchmark/laut/kaluza/1586/sink.smt2,1,0.019167
benchmark/laut/kaluza/184/sink.smt2,1,0.040433
benchmark/laut/kaluza/1341/sink.smt2,0,0.022472
benchmark/laut/kaluza/1808/sink.smt2,0,0.018192
benchmark/laut/kaluza/994/sink.smt2,0,0.019264
benchmark/laut/kaluza/406/sink.smt2,0,0.019258
benchmark/laut/kaluza/880/sink.smt2,0,0.017875
benchmark/laut/kaluza/551/sink.smt2,0,0.018369
benchmark/laut/kaluza/1026/sink.smt2,0,0.018264
benchmark/laut/kaluza/449/sink.smt2,0,0.018366
benchmark/laut/kaluza/1060/sink.smt2,0,0.018561
benchmark/laut/kaluza/1850/sink.smt2,1,0.017379
benchmark/laut/kaluza/1817/sink.smt2,0,0.018237
benchmark/laut/kaluza/884/sink.smt2,0,0.019726
benchmark/laut/kaluza/42/sink.smt2,1,0.032681
benchmark/laut/kaluza/67/sink.smt2,1,0.034462
benchmark/laut/kaluza/1202/sink.smt2,1,0.037995
benchmark/laut/kaluza/102/sink.smt2,1,0.039607
benchmark/laut/kaluza/1918/sink.smt2,0,0.039752
benchmark/laut/kaluza/1892/sink.smt2,1,0.034414
benchmark/laut/kaluza/700/sink.smt2,1,0.033831
benchmark/laut/kaluza/826/sink.smt2,1,0.017891
benchmark/laut/kaluza/28/sink.smt2,1,0.018782
benchmark/laut/kaluza/854/sink.smt2,1,0.039094
benchmark/laut/kaluza/1950/sink.smt2,0,0.018634
benchmark/laut/kaluza/925/sink.smt2,1,0.020278
benchmark/laut/kaluza/326/sink.smt2,0,0.017490
benchmark/laut/kaluza/1443/sink.smt2,0,0.017334
