benchmark=c_str_rep_nto,solver=s3p,TO=600.000000
path,sat,time
benchmark/laut/c_str_rep_nt_original/19062/sink.s3,0,0.420525
benchmark/laut/c_str_rep_nt_original/20800/sink.s3,x,0.0
benchmark/laut/c_str_rep_nt_original/20539/sink.s3,0,0.420008
benchmark/laut/c_str_rep_nt_original/4429/sink.s3,1,0.317002
benchmark/laut/c_str_rep_nt_original/20496/sink.s3,x,0.0
benchmark/laut/c_str_rep_nt_original/17327/sink.s3,x,0.0
benchmark/laut/c_str_rep_nt_original/29837/sink.s3,x,0.0
benchmark/laut/c_str_rep_nt_original/20472/sink.s3,0,0.471089
benchmark/laut/c_str_rep_nt_original/19755/sink.s3,0,0.520804
benchmark/laut/c_str_rep_nt_original/17241/sink.s3,x,0.0
benchmark/laut/c_str_rep_nt_original/29673/sink.s3,0,0.420333
benchmark/laut/c_str_rep_nt_original/2200/sink.s3,0,0.071636
benchmark/laut/c_str_rep_nt_original/21602/sink.s3,x,0.0
benchmark/laut/c_str_rep_nt_original/17149/sink.s3,x,0.0
benchmark/laut/c_str_rep_nt_original/17172/sink.s3,0,0.526831
benchmark/laut/c_str_rep_nt_original/29882/sink.s3,0,0.470738
benchmark/laut/c_str_rep_nt_original/20751/sink.s3,0,0.523567
benchmark/laut/c_str_rep_nt_original/29656/sink.s3,x,0.0
benchmark/laut/c_str_rep_nt_original/19574/sink.s3,0,0.472693
benchmark/laut/c_str_rep_nt_original/21073/sink.s3,x,0.0
benchmark/laut/c_str_rep_nt_original/17778/sink.s3,x,0.0
benchmark/laut/c_str_rep_nt_original/30552/sink.s3,0,0.472337
benchmark/laut/c_str_rep_nt_original/17803/sink.s3,x,0.0
benchmark/laut/c_str_rep_nt_original/19719/sink.s3,x,0.0
benchmark/laut/c_str_rep_nt_original/17829/sink.s3,0,0.473311
benchmark/laut/c_str_rep_nt_original/19125/sink.s3,x,0.0
benchmark/laut/c_str_rep_nt_original/29485/sink.s3,x,0.0
benchmark/laut/c_str_rep_nt_original/17728/sink.s3,0,0.468306
benchmark/laut/c_str_rep_nt_original/26404/sink.s3,0,0.421665
benchmark/laut/c_str_rep_nt_original/31586/sink.s3,0,0.524145
benchmark/laut/c_str_rep_nt_original/20896/sink.s3,x,0.0
benchmark/laut/c_str_rep_nt_original/17621/sink.s3,x,0.0
benchmark/laut/c_str_rep_nt_original/29618/sink.s3,0,0.421324
benchmark/laut/c_str_rep_nt_original/30115/sink.s3,x,0.0
benchmark/laut/c_str_rep_nt_original/20731/sink.s3,x,0.0
benchmark/laut/c_str_rep_nt_original/20586/sink.s3,0,0.468594
benchmark/laut/c_str_rep_nt_original/21266/sink.s3,x,0.0
benchmark/laut/c_str_rep_nt_original/30007/sink.s3,1,0.896884
benchmark/laut/c_str_rep_nt_original/17688/sink.s3,1,0.833279
benchmark/laut/c_str_rep_nt_original/19154/sink.s3,x,0.0
benchmark/laut/c_str_rep_nt_original/19041/sink.s3,x,0.0
benchmark/laut/c_str_rep_nt_original/21254/sink.s3,0,0.579027
benchmark/laut/c_str_rep_nt_original/16988/sink.s3,0,0.501302
benchmark/laut/c_str_rep_nt_original/29796/sink.s3,x,0.0
benchmark/laut/c_str_rep_nt_original/17045/sink.s3,0,0.471750
benchmark/laut/c_str_rep_nt_original/18974/sink.s3,x,0.0
benchmark/laut/c_str_rep_nt_original/19021/sink.s3,0,0.471725
benchmark/laut/c_str_rep_nt_original/19595/sink.s3,0,0.521769
benchmark/laut/c_str_rep_nt_original/30095/sink.s3,0,0.523844
benchmark/laut/c_str_rep_nt_original/10220/sink.s3,0,0.072922
benchmark/laut/c_str_rep_nt_original/16927/sink.s3,0,0.471850
benchmark/laut/c_str_rep_nt_original/21006/sink.s3,0,0.424815
benchmark/laut/c_str_rep_nt_original/29526/sink.s3,x,0.0
benchmark/laut/c_str_rep_nt_original/18493/sink.s3,1,0.824327
benchmark/laut/c_str_rep_nt_original/21218/sink.s3,0,0.471283
benchmark/laut/c_str_rep_nt_original/20937/sink.s3,x,0.0
benchmark/laut/c_str_rep_nt_original/17434/sink.s3,0,0.574730
benchmark/laut/c_str_rep_nt_original/19439/sink.s3,0,0.524105
benchmark/laut/c_str_rep_nt_original/21041/sink.s3,1,1.076193
benchmark/laut/c_str_rep_nt_original/19630/sink.s3,x,0.0
benchmark/laut/c_str_rep_nt_original/21129/sink.s3,x,0.0
benchmark/laut/c_str_rep_nt_original/21244/sink.s3,0,0.421923
benchmark/laut/c_str_rep_nt_original/29462/sink.s3,x,0.0
benchmark/laut/c_str_rep_nt_original/17461/sink.s3,0,0.476636
benchmark/laut/c_str_rep_nt_original/29972/sink.s3,x,0.0
benchmark/laut/c_str_rep_nt_original/29552/sink.s3,x,0.0
benchmark/laut/c_str_rep_nt_original/17856/sink.s3,x,0.0
benchmark/laut/c_str_rep_nt_original/19671/sink.s3,x,0.0
benchmark/laut/c_str_rep_nt_original/20623/sink.s3,0,0.524326
benchmark/laut/c_str_rep_nt_original/29505/sink.s3,0,0.426972
benchmark/laut/c_str_rep_nt_original/31391/sink.s3,x,0.0
benchmark/laut/c_str_rep_nt_original/19398/sink.s3,0,0.473610
benchmark/laut/c_str_rep_nt_original/19332/sink.s3,0,0.472190
benchmark/laut/c_str_rep_nt_original/14064/sink.s3,0,0.067863
benchmark/laut/c_str_rep_nt_original/29601/sink.s3,x,0.000000
benchmark/laut/c_str_rep_nt_original/20830/sink.s3,0,0.420611
benchmark/laut/c_str_rep_nt_original/29952/sink.s3,0,0.474494
benchmark/laut/c_str_rep_nt_original/26083/sink.s3,t,0.0
benchmark/laut/c_str_rep_nt_original/19745/sink.s3,x,0.0
benchmark/laut/c_str_rep_nt_original/30039/sink.s3,x,0.0
benchmark/laut/c_str_rep_nt_original/17979/sink.s3,0,0.420072
benchmark/laut/c_str_rep_nt_original/17575/sink.s3,x,0.0
benchmark/laut/c_str_rep_nt_original/10209/sink.s3,1,0.170756
benchmark/laut/c_str_rep_nt_original/33236/sink.s3,0,0.420282
benchmark/laut/c_str_rep_nt_original/19253/sink.s3,0,0.425098
benchmark/laut/c_str_rep_nt_original/19701/sink.s3,x,0.0
benchmark/laut/c_str_rep_nt_original/29737/sink.s3,0,0.474345
benchmark/laut/c_str_rep_nt_original/15965/sink.s3,0,0.117845
benchmark/laut/c_str_rep_nt_original/8291/sink.s3,0,0.117354
benchmark/laut/c_str_rep_nt_original/14053/sink.s3,0,0.066425
benchmark/laut/c_str_rep_nt_original/30184/sink.s3,x,0.0
benchmark/laut/c_str_rep_nt_original/19105/sink.s3,0,0.420958
benchmark/laut/c_str_rep_nt_original/19508/sink.s3,0,0.419182
benchmark/laut/c_str_rep_nt_original/30210/sink.s3,0,0.469381
benchmark/laut/c_str_rep_nt_original/21094/sink.s3,x,0.0
benchmark/laut/c_str_rep_nt_original/29920/sink.s3,x,0.0
