benchmark=c_str_rep_nto,solver=trau,TO=600.000000
path,sat,time
benchmark/laut/c_str_rep_nt_original/19062/sink.trau,0,0.169359
benchmark/laut/c_str_rep_nt_original/20800/sink.trau,0,0.772323
benchmark/laut/c_str_rep_nt_original/20539/sink.trau,0,0.167257
benchmark/laut/c_str_rep_nt_original/4429/sink.trau,x,0.0
benchmark/laut/c_str_rep_nt_original/20496/sink.trau,0,0.374260
benchmark/laut/c_str_rep_nt_original/17327/sink.trau,x,0.0
benchmark/laut/c_str_rep_nt_original/29837/sink.trau,0,0.421764
benchmark/laut/c_str_rep_nt_original/20472/sink.trau,0,0.218554
benchmark/laut/c_str_rep_nt_original/19755/sink.trau,0,0.167334
benchmark/laut/c_str_rep_nt_original/17241/sink.trau,0,0.320890
benchmark/laut/c_str_rep_nt_original/29673/sink.trau,0,0.217672
benchmark/laut/c_str_rep_nt_original/2200/sink.trau,0,0.166709
benchmark/laut/c_str_rep_nt_original/21602/sink.trau,0,8.232867
benchmark/laut/c_str_rep_nt_original/17149/sink.trau,0,0.321393
benchmark/laut/c_str_rep_nt_original/17172/sink.trau,0,0.621778
benchmark/laut/c_str_rep_nt_original/29882/sink.trau,0,0.170778
benchmark/laut/c_str_rep_nt_original/20751/sink.trau,0,0.371079
benchmark/laut/c_str_rep_nt_original/29656/sink.trau,0,0.375581
benchmark/laut/c_str_rep_nt_original/19574/sink.trau,0,0.167736
benchmark/laut/c_str_rep_nt_original/21073/sink.trau,0,0.623624
benchmark/laut/c_str_rep_nt_original/17778/sink.trau,0,0.317552
benchmark/laut/c_str_rep_nt_original/30552/sink.trau,0,0.168706
benchmark/laut/c_str_rep_nt_original/17803/sink.trau,0,0.319302
benchmark/laut/c_str_rep_nt_original/19719/sink.trau,0,0.367232
benchmark/laut/c_str_rep_nt_original/17829/sink.trau,0,0.220793
benchmark/laut/c_str_rep_nt_original/19125/sink.trau,0,0.369305
benchmark/laut/c_str_rep_nt_original/29485/sink.trau,0,0.374269
benchmark/laut/c_str_rep_nt_original/17728/sink.trau,0,0.218114
benchmark/laut/c_str_rep_nt_original/26404/sink.trau,0,0.169151
benchmark/laut/c_str_rep_nt_original/31586/sink.trau,0,0.171700
benchmark/laut/c_str_rep_nt_original/20896/sink.trau,0,0.372317
benchmark/laut/c_str_rep_nt_original/17621/sink.trau,x,0.0
benchmark/laut/c_str_rep_nt_original/29618/sink.trau,0,0.218441
benchmark/laut/c_str_rep_nt_original/30115/sink.trau,x,0.0
benchmark/laut/c_str_rep_nt_original/20731/sink.trau,1,0.977693
benchmark/laut/c_str_rep_nt_original/20586/sink.trau,0,0.169022
benchmark/laut/c_str_rep_nt_original/21266/sink.trau,0,0.367123
benchmark/laut/c_str_rep_nt_original/30007/sink.trau,x,0.0
benchmark/laut/c_str_rep_nt_original/17688/sink.trau,1,5.509245
benchmark/laut/c_str_rep_nt_original/19154/sink.trau,0,0.521115
benchmark/laut/c_str_rep_nt_original/19041/sink.trau,0,0.521142
benchmark/laut/c_str_rep_nt_original/21254/sink.trau,0,0.167196
benchmark/laut/c_str_rep_nt_original/16988/sink.trau,0,0.369893
benchmark/laut/c_str_rep_nt_original/29796/sink.trau,0,2.742226
benchmark/laut/c_str_rep_nt_original/17045/sink.trau,0,0.319631
benchmark/laut/c_str_rep_nt_original/18974/sink.trau,0,0.420789
benchmark/laut/c_str_rep_nt_original/19021/sink.trau,0,0.220270
benchmark/laut/c_str_rep_nt_original/19595/sink.trau,0,0.318047
benchmark/laut/c_str_rep_nt_original/30095/sink.trau,0,0.317542
benchmark/laut/c_str_rep_nt_original/10220/sink.trau,0,0.169761
benchmark/laut/c_str_rep_nt_original/16927/sink.trau,0,0.221472
benchmark/laut/c_str_rep_nt_original/21006/sink.trau,0,0.168775
benchmark/laut/c_str_rep_nt_original/29526/sink.trau,x,0.0
benchmark/laut/c_str_rep_nt_original/18493/sink.trau,x,0.0
benchmark/laut/c_str_rep_nt_original/21218/sink.trau,0,0.166770
benchmark/laut/c_str_rep_nt_original/20937/sink.trau,0,0.520540
benchmark/laut/c_str_rep_nt_original/17434/sink.trau,0,0.476277
benchmark/laut/c_str_rep_nt_original/19439/sink.trau,0,0.268187
benchmark/laut/c_str_rep_nt_original/21041/sink.trau,x,0.0
benchmark/laut/c_str_rep_nt_original/19630/sink.trau,x,0.0
benchmark/laut/c_str_rep_nt_original/21129/sink.trau,0,0.370577
benchmark/laut/c_str_rep_nt_original/21244/sink.trau,0,0.167850
benchmark/laut/c_str_rep_nt_original/29462/sink.trau,x,0.0
benchmark/laut/c_str_rep_nt_original/17461/sink.trau,0,0.222894
benchmark/laut/c_str_rep_nt_original/29972/sink.trau,0,0.420800
benchmark/laut/c_str_rep_nt_original/29552/sink.trau,0,0.368403
benchmark/laut/c_str_rep_nt_original/17856/sink.trau,0,0.320884
benchmark/laut/c_str_rep_nt_original/19671/sink.trau,0,0.418360
benchmark/laut/c_str_rep_nt_original/20623/sink.trau,0,0.321256
benchmark/laut/c_str_rep_nt_original/29505/sink.trau,0,0.167381
benchmark/laut/c_str_rep_nt_original/31391/sink.trau,1,0.468820
benchmark/laut/c_str_rep_nt_original/19398/sink.trau,0,0.165614
benchmark/laut/c_str_rep_nt_original/19332/sink.trau,0,0.267984
benchmark/laut/c_str_rep_nt_original/14064/sink.trau,0,0.167742
benchmark/laut/c_str_rep_nt_original/29601/sink.trau,0,0.372967
benchmark/laut/c_str_rep_nt_original/20830/sink.trau,0,0.274419
benchmark/laut/c_str_rep_nt_original/29952/sink.trau,0,0.271407
benchmark/laut/c_str_rep_nt_original/26083/sink.trau,x,0.0
benchmark/laut/c_str_rep_nt_original/19745/sink.trau,0,0.369896
benchmark/laut/c_str_rep_nt_original/30039/sink.trau,0,0.422076
benchmark/laut/c_str_rep_nt_original/17979/sink.trau,0,0.167172
benchmark/laut/c_str_rep_nt_original/17575/sink.trau,0,0.469962
benchmark/laut/c_str_rep_nt_original/10209/sink.trau,x,0.0
benchmark/laut/c_str_rep_nt_original/33236/sink.trau,0,0.168400
benchmark/laut/c_str_rep_nt_original/19253/sink.trau,0,0.217146
benchmark/laut/c_str_rep_nt_original/19701/sink.trau,0,0.423976
benchmark/laut/c_str_rep_nt_original/29737/sink.trau,0,0.218598
benchmark/laut/c_str_rep_nt_original/15965/sink.trau,0,0.220856
benchmark/laut/c_str_rep_nt_original/8291/sink.trau,0,0.167622
benchmark/laut/c_str_rep_nt_original/14053/sink.trau,0,0.168551
benchmark/laut/c_str_rep_nt_original/30184/sink.trau,0,0.319682
benchmark/laut/c_str_rep_nt_original/19105/sink.trau,0,0.169093
benchmark/laut/c_str_rep_nt_original/19508/sink.trau,0,0.216970
benchmark/laut/c_str_rep_nt_original/30210/sink.trau,0,0.320084
benchmark/laut/c_str_rep_nt_original/21094/sink.trau,0,0.318349
benchmark/laut/c_str_rep_nt_original/29920/sink.trau,0,0.523034
