benchmark=d_str_rep_nt,solver=trau,TO=600.000000
path,sat,time
benchmark/laut/d_str_rep_nt/19595/sink.trau,0,0.371178
benchmark/laut/d_str_rep_nt/17172/sink.trau,0,0.671071
benchmark/laut/d_str_rep_nt/20603/sink.trau,0,0.268692
benchmark/laut/d_str_rep_nt/10220/sink.trau,0,0.166749
benchmark/laut/d_str_rep_nt/21073/sink.trau,0,0.520422
benchmark/laut/d_str_rep_nt/4429/sink.trau,1,0.677385
benchmark/laut/d_str_rep_nt/17014/sink.trau,0,0.170052
benchmark/laut/d_str_rep_nt/29526/sink.trau,1,1.886199
benchmark/laut/d_str_rep_nt/17916/sink.trau,0,0.321175
benchmark/laut/d_str_rep_nt/21170/sink.trau,0,2.888366
benchmark/laut/d_str_rep_nt/31893/sink.trau,1,0.673359
benchmark/laut/d_str_rep_nt/30166/sink.trau,0,0.418834
benchmark/laut/d_str_rep_nt/20635/sink.trau,0,0.166820
benchmark/laut/d_str_rep_nt/20771/sink.trau,0,0.318100
benchmark/laut/d_str_rep_nt/17104/sink.trau,0,0.218122
benchmark/laut/d_str_rep_nt/20800/sink.trau,0,1.535972
benchmark/laut/d_str_rep_nt/19671/sink.trau,x,0.0
benchmark/laut/d_str_rep_nt/17778/sink.trau,0,0.417511
benchmark/laut/d_str_rep_nt/29673/sink.trau,0,0.230193
benchmark/laut/d_str_rep_nt/19273/sink.trau,x,0.0
benchmark/laut/d_str_rep_nt/32927/sink.trau,0,0.218460
benchmark/laut/d_str_rep_nt/21149/sink.trau,0,0.475928
benchmark/laut/d_str_rep_nt/15976/sink.trau,0,0.217078
benchmark/laut/d_str_rep_nt/25888/sink.trau,1,5.243074
benchmark/laut/d_str_rep_nt/19719/sink.trau,0,0.622876
benchmark/laut/d_str_rep_nt/15965/sink.trau,0,0.316238
benchmark/laut/d_str_rep_nt/29618/sink.trau,0,0.218781
benchmark/laut/d_str_rep_nt/19209/sink.trau,x,0.0
benchmark/laut/d_str_rep_nt/20496/sink.trau,0,0.471306
benchmark/laut/d_str_rep_nt/19418/sink.trau,x,0.0
benchmark/laut/d_str_rep_nt/19373/sink.trau,x,0.0
benchmark/laut/d_str_rep_nt/19137/sink.trau,x,0.0
benchmark/laut/d_str_rep_nt/31391/sink.trau,1,0.721040
benchmark/laut/d_str_rep_nt/29552/sink.trau,0,0.419067
benchmark/laut/d_str_rep_nt/29796/sink.trau,0,1.925234
benchmark/laut/d_str_rep_nt/32738/sink.trau,1,0.820496
benchmark/laut/d_str_rep_nt/17671/sink.trau,0,0.266023
benchmark/laut/d_str_rep_nt/29717/sink.trau,0,0.367332
benchmark/laut/d_str_rep_nt/17647/sink.trau,0,0.216666
benchmark/laut/d_str_rep_nt/29862/sink.trau,0,0.266163
benchmark/laut/d_str_rep_nt/30095/sink.trau,0,0.316802
benchmark/laut/d_str_rep_nt/29903/sink.trau,0,0.416287
benchmark/laut/d_str_rep_nt/17552/sink.trau,0,0.470022
benchmark/laut/d_str_rep_nt/21129/sink.trau,0,0.365914
benchmark/laut/d_str_rep_nt/21024/sink.trau,0,0.626713
benchmark/laut/d_str_rep_nt/8280/sink.trau,0,0.219700
benchmark/laut/d_str_rep_nt/17149/sink.trau,0,0.468694
benchmark/laut/d_str_rep_nt/19630/sink.trau,x,0.0
benchmark/laut/d_str_rep_nt/20937/sink.trau,0,0.417985
benchmark/laut/d_str_rep_nt/19650/sink.trau,0,0.471862
benchmark/laut/d_str_rep_nt/17575/sink.trau,0,1.020833
benchmark/laut/d_str_rep_nt/19088/sink.trau,x,0.0
benchmark/laut/d_str_rep_nt/21254/sink.trau,0,0.216597
benchmark/laut/d_str_rep_nt/30115/sink.trau,1,2.131247
benchmark/laut/d_str_rep_nt/8291/sink.trau,0,0.218038
benchmark/laut/d_str_rep_nt/19062/sink.trau,x,0.0
benchmark/laut/d_str_rep_nt/2172/sink.trau,0,0.218037
benchmark/laut/d_str_rep_nt/26083/sink.trau,0,0.772843
benchmark/laut/d_str_rep_nt/30076/sink.trau,1,0.820915
benchmark/laut/d_str_rep_nt/6361/sink.trau,0,0.220005
benchmark/laut/d_str_rep_nt/21110/sink.trau,0,0.318466
benchmark/laut/d_str_rep_nt/29920/sink.trau,0,0.622077
benchmark/laut/d_str_rep_nt/29882/sink.trau,0,0.167076
benchmark/laut/d_str_rep_nt/17621/sink.trau,1,0.525079
benchmark/laut/d_str_rep_nt/16958/sink.trau,0,0.167854
benchmark/laut/d_str_rep_nt/21094/sink.trau,0,0.367657
benchmark/laut/d_str_rep_nt/29569/sink.trau,0,0.369501
benchmark/laut/d_str_rep_nt/17327/sink.trau,1,0.773111
benchmark/laut/d_str_rep_nt/20094/sink.trau,1,0.726423
benchmark/laut/d_str_rep_nt/20539/sink.trau,0,0.173129
benchmark/laut/d_str_rep_nt/29952/sink.trau,0,0.318206
benchmark/laut/d_str_rep_nt/20623/sink.trau,0,0.267505
benchmark/laut/d_str_rep_nt/17951/sink.trau,0,0.167715
benchmark/laut/d_str_rep_nt/17131/sink.trau,0,0.168176
benchmark/laut/d_str_rep_nt/19041/sink.trau,x,0.0
benchmark/laut/d_str_rep_nt/17525/sink.trau,0,0.319455
benchmark/laut/d_str_rep_nt/16988/sink.trau,0,0.420121
benchmark/laut/d_str_rep_nt/20652/sink.trau,x,0.0
benchmark/laut/d_str_rep_nt/19233/sink.trau,x,0.0
benchmark/laut/d_str_rep_nt/17803/sink.trau,0,0.365827
benchmark/laut/d_str_rep_nt/2200/sink.trau,0,0.168343
benchmark/laut/d_str_rep_nt/20954/sink.trau,0,0.924770
benchmark/laut/d_str_rep_nt/29972/sink.trau,0,0.518228
benchmark/laut/d_str_rep_nt/30039/sink.trau,0,0.419149
benchmark/laut/d_str_rep_nt/19352/sink.trau,x,0.0
benchmark/laut/d_str_rep_nt/17081/sink.trau,0,0.369886
benchmark/laut/d_str_rep_nt/24522/sink.trau,0,5.716563
benchmark/laut/d_str_rep_nt/17363/sink.trau,0,0.620773
benchmark/laut/d_str_rep_nt/24717/sink.trau,0,0.875913
benchmark/laut/d_str_rep_nt/29816/sink.trau,x,0.0
benchmark/laut/d_str_rep_nt/17756/sink.trau,0,0.420784
