benchmark=d_str_rep_nt,solver=trau,TO=600.000000
path,sat,time
benchmark/laut/d_str_rep_nt/19595/sink.trau,x,0.0
benchmark/laut/d_str_rep_nt/17172/sink.trau,0,1.027091
benchmark/laut/d_str_rep_nt/20603/sink.trau,0,0.175605
benchmark/laut/d_str_rep_nt/10220/sink.trau,0,0.172882
benchmark/laut/d_str_rep_nt/21073/sink.trau,0,1.074836
benchmark/laut/d_str_rep_nt/4429/sink.trau,1,0.420442
benchmark/laut/d_str_rep_nt/17014/sink.trau,0,0.167623
benchmark/laut/d_str_rep_nt/29526/sink.trau,1,1.736785
benchmark/laut/d_str_rep_nt/17916/sink.trau,0,0.520247
benchmark/laut/d_str_rep_nt/21170/sink.trau,1,18.424960
benchmark/laut/d_str_rep_nt/31893/sink.trau,1,0.620982
benchmark/laut/d_str_rep_nt/30166/sink.trau,0,0.427979
benchmark/laut/d_str_rep_nt/20635/sink.trau,0,0.166802
benchmark/laut/d_str_rep_nt/20771/sink.trau,0,0.929986
benchmark/laut/d_str_rep_nt/17104/sink.trau,0,0.168508
benchmark/laut/d_str_rep_nt/20800/sink.trau,0,3.048714
benchmark/laut/d_str_rep_nt/19671/sink.trau,x,0.0
benchmark/laut/d_str_rep_nt/17778/sink.trau,0,0.377099
benchmark/laut/d_str_rep_nt/29673/sink.trau,0,0.168356
benchmark/laut/d_str_rep_nt/19273/sink.trau,x,0.0
benchmark/laut/d_str_rep_nt/32927/sink.trau,0,0.173797
benchmark/laut/d_str_rep_nt/21149/sink.trau,0,0.669908
benchmark/laut/d_str_rep_nt/15976/sink.trau,0,0.168754
benchmark/laut/d_str_rep_nt/25888/sink.trau,1,4.653908
benchmark/laut/d_str_rep_nt/19719/sink.trau,x,0.0
benchmark/laut/d_str_rep_nt/15965/sink.trau,0,0.147923
benchmark/laut/d_str_rep_nt/29618/sink.trau,0,0.174086
benchmark/laut/d_str_rep_nt/19209/sink.trau,x,0.0
benchmark/laut/d_str_rep_nt/20496/sink.trau,0,0.577851
benchmark/laut/d_str_rep_nt/19418/sink.trau,x,0.0
benchmark/laut/d_str_rep_nt/19373/sink.trau,x,0.0
benchmark/laut/d_str_rep_nt/19137/sink.trau,x,0.0
benchmark/laut/d_str_rep_nt/31391/sink.trau,1,0.570304
benchmark/laut/d_str_rep_nt/29552/sink.trau,0,1.222909
benchmark/laut/d_str_rep_nt/29796/sink.trau,0,3.464080
benchmark/laut/d_str_rep_nt/32738/sink.trau,1,0.669526
benchmark/laut/d_str_rep_nt/17671/sink.trau,0,0.219248
benchmark/laut/d_str_rep_nt/29717/sink.trau,0,0.827347
benchmark/laut/d_str_rep_nt/17647/sink.trau,0,0.167736
benchmark/laut/d_str_rep_nt/29862/sink.trau,0,0.166736
benchmark/laut/d_str_rep_nt/30095/sink.trau,0,0.569994
benchmark/laut/d_str_rep_nt/29903/sink.trau,0,0.978991
benchmark/laut/d_str_rep_nt/17552/sink.trau,0,0.675941
benchmark/laut/d_str_rep_nt/21129/sink.trau,0,0.673043
benchmark/laut/d_str_rep_nt/21024/sink.trau,0,0.831962
benchmark/laut/d_str_rep_nt/8280/sink.trau,0,0.219168
benchmark/laut/d_str_rep_nt/17149/sink.trau,0,0.568302
benchmark/laut/d_str_rep_nt/19630/sink.trau,x,0.0
benchmark/laut/d_str_rep_nt/20937/sink.trau,0,0.821945
benchmark/laut/d_str_rep_nt/19650/sink.trau,x,0.0
benchmark/laut/d_str_rep_nt/17575/sink.trau,0,1.180831
benchmark/laut/d_str_rep_nt/19088/sink.trau,x,0.0
benchmark/laut/d_str_rep_nt/21254/sink.trau,0,0.222078
benchmark/laut/d_str_rep_nt/30115/sink.trau,1,1.997495
benchmark/laut/d_str_rep_nt/8291/sink.trau,0,0.167955
benchmark/laut/d_str_rep_nt/19062/sink.trau,x,0.0
benchmark/laut/d_str_rep_nt/2172/sink.trau,0,0.331378
benchmark/laut/d_str_rep_nt/26083/sink.trau,0,0.925660
benchmark/laut/d_str_rep_nt/30076/sink.trau,0,5.642405
benchmark/laut/d_str_rep_nt/6361/sink.trau,0,0.168563
