benchmark=d_str_rep_nt,solver=s3p,TO=600.000000
path,sat,time
benchmark/laut/d_str_rep_nt/17172/sink.s3,x,0.0
benchmark/laut/d_str_rep_nt/20603/sink.s3,0,0.421481
benchmark/laut/d_str_rep_nt/10220/sink.s3,0,0.066455
benchmark/laut/d_str_rep_nt/21073/sink.s3,x,0.0
benchmark/laut/d_str_rep_nt/4429/sink.s3,1,0.180512
benchmark/laut/d_str_rep_nt/17014/sink.s3,0,0.422120
benchmark/laut/d_str_rep_nt/29526/sink.s3,x,0.0
benchmark/laut/d_str_rep_nt/17916/sink.s3,0,0.472748
benchmark/laut/d_str_rep_nt/21170/sink.s3,0,1.073622
benchmark/laut/d_str_rep_nt/31893/sink.s3,x,0.0
benchmark/laut/d_str_rep_nt/30166/sink.s3,x,0.0
benchmark/laut/d_str_rep_nt/20635/sink.s3,0,0.421627
benchmark/laut/d_str_rep_nt/20771/sink.s3,0,0.474953
benchmark/laut/d_str_rep_nt/17104/sink.s3,0,0.419788
benchmark/laut/d_str_rep_nt/20800/sink.s3,x,0.0
benchmark/laut/d_str_rep_nt/19671/sink.s3,0,4.094606
benchmark/laut/d_str_rep_nt/17778/sink.s3,x,0.0
benchmark/laut/d_str_rep_nt/29673/sink.s3,0,0.419201
benchmark/laut/d_str_rep_nt/19273/sink.s3,0,0.424739
benchmark/laut/d_str_rep_nt/32927/sink.s3,0,0.474036
benchmark/laut/d_str_rep_nt/21149/sink.s3,x,0.0
benchmark/laut/d_str_rep_nt/15976/sink.s3,0,0.072685
benchmark/laut/d_str_rep_nt/25888/sink.s3,x,0.0
benchmark/laut/d_str_rep_nt/19719/sink.s3,x,0.0
benchmark/laut/d_str_rep_nt/15965/sink.s3,0,0.065650
benchmark/laut/d_str_rep_nt/29618/sink.s3,0,0.420224
benchmark/laut/d_str_rep_nt/19209/sink.s3,0,0.421869
benchmark/laut/d_str_rep_nt/20496/sink.s3,1,0.874397
benchmark/laut/d_str_rep_nt/19418/sink.s3,0,0.423364
benchmark/laut/d_str_rep_nt/19373/sink.s3,0,0.422997
benchmark/laut/d_str_rep_nt/19137/sink.s3,0,0.467904
benchmark/laut/d_str_rep_nt/31391/sink.s3,x,0.0
benchmark/laut/d_str_rep_nt/29552/sink.s3,x,0.0
benchmark/laut/d_str_rep_nt/29796/sink.s3,x,0.0
benchmark/laut/d_str_rep_nt/32738/sink.s3,x,0.0
benchmark/laut/d_str_rep_nt/17671/sink.s3,0,0.469610
benchmark/laut/d_str_rep_nt/29717/sink.s3,x,0.0
benchmark/laut/d_str_rep_nt/17647/sink.s3,0,0.417429
benchmark/laut/d_str_rep_nt/29862/sink.s3,0,0.423416
benchmark/laut/d_str_rep_nt/30095/sink.s3,0,0.570926
benchmark/laut/d_str_rep_nt/29903/sink.s3,t,0.0
benchmark/laut/d_str_rep_nt/17552/sink.s3,0,0.575408
benchmark/laut/d_str_rep_nt/21129/sink.s3,x,0.0
benchmark/laut/d_str_rep_nt/21024/sink.s3,x,0.0
benchmark/laut/d_str_rep_nt/8280/sink.s3,0,0.116438
benchmark/laut/d_str_rep_nt/17149/sink.s3,x,0.0
benchmark/laut/d_str_rep_nt/19630/sink.s3,x,0.0
benchmark/laut/d_str_rep_nt/20937/sink.s3,x,0.0
benchmark/laut/d_str_rep_nt/19650/sink.s3,x,0.0
benchmark/laut/d_str_rep_nt/17575/sink.s3,t,0.0
benchmark/laut/d_str_rep_nt/19088/sink.s3,x,0.0
benchmark/laut/d_str_rep_nt/21254/sink.s3,0,0.670606
benchmark/laut/d_str_rep_nt/30115/sink.s3,t,0.0
benchmark/laut/d_str_rep_nt/8291/sink.s3,0,0.042004
benchmark/laut/d_str_rep_nt/19062/sink.s3,0,0.420346
benchmark/laut/d_str_rep_nt/2172/sink.s3,0,0.067881
benchmark/laut/d_str_rep_nt/26083/sink.s3,t,0.0
benchmark/laut/d_str_rep_nt/30076/sink.s3,x,0.0
benchmark/laut/d_str_rep_nt/6361/sink.s3,0,0.170073
benchmark/laut/d_str_rep_nt/21110/sink.s3,0,0.522055
benchmark/laut/d_str_rep_nt/29920/sink.s3,x,0.0
benchmark/laut/d_str_rep_nt/29882/sink.s3,0,0.418744
