benchmark=d_str_rep_nt,solver=ic3ia,TO=600.000000
path,sat,time,step
benchmark/laut/d_str_rep_nt/21041/sink.vmt,1,91.482362,66
benchmark/laut/d_str_rep_nt/30232/sink.vmt,1,179.812030,92
benchmark/laut/d_str_rep_nt/17728/sink.vmt,0,122.485663,85
benchmark/laut/d_str_rep_nt/19456/sink.vmt,1,46.060578,53
benchmark/laut/d_str_rep_nt/20986/sink.vmt,0,141.831312,73
benchmark/laut/d_str_rep_nt/21006/sink.vmt,0,53.219098,64
benchmark/laut/d_str_rep_nt/17409/sink.vmt,0,159.224631,76
benchmark/laut/d_str_rep_nt/29990/sink.vmt,0,358.045261,72
benchmark/laut/d_str_rep_nt/19595/sink.vmt,0,149.475603,83
benchmark/laut/d_str_rep_nt/17172/sink.vmt,0,208.753442,64
benchmark/laut/d_str_rep_nt/20603/sink.vmt,0,80.863663,64
benchmark/laut/d_str_rep_nt/10220/sink.vmt,0,267.541281,87
benchmark/laut/d_str_rep_nt/21073/sink.vmt,1,147.508238,91
benchmark/laut/d_str_rep_nt/4429/sink.vmt,1,80.458404,90
benchmark/laut/d_str_rep_nt/17014/sink.vmt,0,52.526102,52
benchmark/laut/d_str_rep_nt/29526/sink.vmt,1,119.958676,92
benchmark/laut/d_str_rep_nt/17916/sink.vmt,0,117.033250,77
benchmark/laut/d_str_rep_nt/21170/sink.vmt,1,115.671198,62
benchmark/laut/d_str_rep_nt/31893/sink.vmt,1,52.433250,71
benchmark/laut/d_str_rep_nt/30166/sink.vmt,0,153.702663,77
benchmark/laut/d_str_rep_nt/20635/sink.vmt,0,81.754039,73
benchmark/laut/d_str_rep_nt/20771/sink.vmt,0,252.888843,102
benchmark/laut/d_str_rep_nt/17104/sink.vmt,0,105.558441,71
benchmark/laut/d_str_rep_nt/20800/sink.vmt,0,125.914200,61
benchmark/laut/d_str_rep_nt/19671/sink.vmt,1,36.404832,55
benchmark/laut/d_str_rep_nt/17778/sink.vmt,0,162.017963,76
benchmark/laut/d_str_rep_nt/29673/sink.vmt,0,81.208267,67
benchmark/laut/d_str_rep_nt/19273/sink.vmt,0,53.315165,66
benchmark/laut/d_str_rep_nt/32927/sink.vmt,0,361.217136,104
benchmark/laut/d_str_rep_nt/21149/sink.vmt,0,153.496088,93
benchmark/laut/d_str_rep_nt/15976/sink.vmt,0,319.315022,140
benchmark/laut/d_str_rep_nt/25888/sink.vmt,1,205.394433,187
benchmark/laut/d_str_rep_nt/19719/sink.vmt,0,135.948703,78
benchmark/laut/d_str_rep_nt/15965/sink.vmt,t,0.0,0
benchmark/laut/d_str_rep_nt/29618/sink.vmt,0,59.661071,58
benchmark/laut/d_str_rep_nt/19209/sink.vmt,0,60.472273,64
benchmark/laut/d_str_rep_nt/20496/sink.vmt,1,54.042499,91
benchmark/laut/d_str_rep_nt/19418/sink.vmt,0,57.828056,61
benchmark/laut/d_str_rep_nt/19373/sink.vmt,0,223.808078,79
benchmark/laut/d_str_rep_nt/19137/sink.vmt,0,360.967877,97
benchmark/laut/d_str_rep_nt/31391/sink.vmt,1,2.693516,52
benchmark/laut/d_str_rep_nt/29552/sink.vmt,0,146.690070,81
benchmark/laut/d_str_rep_nt/29796/sink.vmt,0,362.194437,81
benchmark/laut/d_str_rep_nt/32738/sink.vmt,1,23.918157,56
benchmark/laut/d_str_rep_nt/17671/sink.vmt,0,88.602351,60
benchmark/laut/d_str_rep_nt/29717/sink.vmt,0,180.740751,85
benchmark/laut/d_str_rep_nt/17647/sink.vmt,0,74.835342,69
benchmark/laut/d_str_rep_nt/29862/sink.vmt,0,88.064273,70
benchmark/laut/d_str_rep_nt/30095/sink.vmt,0,283.275573,96
benchmark/laut/d_str_rep_nt/29903/sink.vmt,1,155.865028,92
benchmark/laut/d_str_rep_nt/17552/sink.vmt,0,252.859203,91
benchmark/laut/d_str_rep_nt/21129/sink.vmt,0,159.193940,75
benchmark/laut/d_str_rep_nt/21024/sink.vmt,0,36.403721,43
benchmark/laut/d_str_rep_nt/8280/sink.vmt,0,262.735719,82
benchmark/laut/d_str_rep_nt/17149/sink.vmt,0,253.612142,76
benchmark/laut/d_str_rep_nt/19630/sink.vmt,1,131.139372,88
benchmark/laut/d_str_rep_nt/20937/sink.vmt,1,172.305273,91
benchmark/laut/d_str_rep_nt/19650/sink.vmt,0,147.496414,80
benchmark/laut/d_str_rep_nt/17575/sink.vmt,1,123.994990,59
benchmark/laut/d_str_rep_nt/19088/sink.vmt,0,261.545263,80
benchmark/laut/d_str_rep_nt/21254/sink.vmt,0,266.180769,139
benchmark/laut/d_str_rep_nt/30115/sink.vmt,1,65.337289,99
benchmark/laut/d_str_rep_nt/8291/sink.vmt,0,29.715181,64
benchmark/laut/d_str_rep_nt/19062/sink.vmt,0,54.346140,63
benchmark/laut/d_str_rep_nt/2172/sink.vmt,0,32.121815,67
benchmark/laut/d_str_rep_nt/26083/sink.vmt,t,0.0,0
benchmark/laut/d_str_rep_nt/30076/sink.vmt,1,148.118919,93
benchmark/laut/d_str_rep_nt/6361/sink.vmt,0,63.676375,70
benchmark/laut/d_str_rep_nt/21110/sink.vmt,0,42.859600,59
benchmark/laut/d_str_rep_nt/29920/sink.vmt,0,259.706943,68
benchmark/laut/d_str_rep_nt/29882/sink.vmt,0,82.429407,76
benchmark/laut/d_str_rep_nt/17621/sink.vmt,1,74.758876,102
benchmark/laut/d_str_rep_nt/16958/sink.vmt,0,54.184528,74
benchmark/laut/d_str_rep_nt/21094/sink.vmt,1,63.614518,110
benchmark/laut/d_str_rep_nt/29569/sink.vmt,1,68.906215,99
benchmark/laut/d_str_rep_nt/17327/sink.vmt,1,120.771386,102
benchmark/laut/d_str_rep_nt/20094/sink.vmt,1,14.132243,52
benchmark/laut/d_str_rep_nt/20539/sink.vmt,0,48.484047,67
benchmark/laut/d_str_rep_nt/29952/sink.vmt,0,522.167218,98
benchmark/laut/d_str_rep_nt/20623/sink.vmt,0,134.013172,71
benchmark/laut/d_str_rep_nt/17951/sink.vmt,0,55.672977,63
benchmark/laut/d_str_rep_nt/17131/sink.vmt,0,65.187195,63
benchmark/laut/d_str_rep_nt/19041/sink.vmt,1,93.917573,88
benchmark/laut/d_str_rep_nt/17525/sink.vmt,0,299.419807,96
benchmark/laut/d_str_rep_nt/16988/sink.vmt,0,198.768438,89
benchmark/laut/d_str_rep_nt/20652/sink.vmt,1,62.295788,56
benchmark/laut/d_str_rep_nt/19233/sink.vmt,0,174.882612,76
benchmark/laut/d_str_rep_nt/17803/sink.vmt,1,62.104682,95
benchmark/laut/d_str_rep_nt/2200/sink.vmt,t,0.0,0
benchmark/laut/d_str_rep_nt/20954/sink.vmt,1,181.009431,60
benchmark/laut/d_str_rep_nt/29972/sink.vmt,0,258.712605,92
benchmark/laut/d_str_rep_nt/30039/sink.vmt,0,545.189384,92
benchmark/laut/d_str_rep_nt/19352/sink.vmt,0,90.714408,65
benchmark/laut/d_str_rep_nt/17081/sink.vmt,0,287.405038,88
benchmark/laut/d_str_rep_nt/24522/sink.vmt,0,46.937007,81
benchmark/laut/d_str_rep_nt/17363/sink.vmt,1,203.600378,60
benchmark/laut/d_str_rep_nt/24717/sink.vmt,t,0.0,0
benchmark/laut/d_str_rep_nt/29816/sink.vmt,1,239.619412,92
benchmark/laut/d_str_rep_nt/17756/sink.vmt,0,267.855104,84
